true weight75,predicted weight75
35.5569999999999,33.923824999999944
35.904,34.58587499999995
35.89499999999998,36.600025
35.59100000000001,33.600824999999986
38.66100000000006,35.46184999999999
35.56200000000001,34.430024999999965
35.904,34.438774999999985
37.62799999999993,35.20504999999997
33.53200000000004,35.597324999999955
34.18599999999992,36.84857499999999
35.22899999999993,34.028000000000034
34.5569999999999,35.56067499999995
34.54300000000001,35.30769999999998
35.58199999999999,35.60074999999996
33.51800000000003,35.11529999999997
32.50099999999998,34.29209999999998
32.83199999999999,33.758950000000006
33.85699999999997,35.24267499999995
34.87199999999996,36.28127499999995
35.20400000000006,35.35827499999997
34.51900000000001,35.47415000000001
35.22400000000005,34.45145
34.89599999999996,34.41514999999998
36.94299999999998,36.99014999999999
35.22400000000005,34.56330000000003
38.31900000000007,36.9843
37.28599999999994,35.113450000000014
37.26499999999999,38.00760000000002
36.24299999999994,36.64622499999997
33.82900000000006,35.51787499999999
