true I(max)-I(650),predicted I(max)-I(650)
0.07467794811743408,0.07440842772311496
0.05808127933625895,0.06970216648840244
0.05579173687586483,0.07040964448070146
0.07979351161442766,0.04652372572337522
0.07057896133119805,0.03846683478356996
0.06421918964039032,0.060767742794466284
0.06443361418936332,0.061574442404455365
0.0704096444807015,0.055791736875864875
0.06575362446340793,0.1119267026647947
0.07170280957234539,0.06154841934027418
0.05671311815178567,0.053649473665995186
0.07118776190826448,0.06437993088143806
0.0662894636280096,0.05944418670977891
0.06321662184954382,0.06270206761308715
0.05378322954198206,0.04488908405944897
0.1220695466122835,0.10720721622263137
0.1030865896271566,0.04855049371508351
0.04869056126769518,0.04722546162526233
0.07430322477958869,0.05382640241769891
0.06437993088143806,0.1059341665933314
0.04530682935246,0.05032064039934253
0.03951416806679652,0.0707764716500433
0.03928993685564125,0.042592835705162216
0.03730925589158274,0.06639632775159202
0.038612758729979,0.04938191247615546
0.1241438016129796,0.05811566440545686
0.04399813676266606,0.11630707004278493
0.05043062562212282,0.08603933497295638
0.04388245969864593,0.06174693172063862
0.06501555934428926,0.06824037353750234
0.07658349406347534,0.057916754355111344
0.1424389474330873,0.07473230421955006
0.04632522782058185,0.06776092719879703
0.06396125442178753,0.0649598692003066
