v AA,v TC,I(max) d I(650)
0.6,0.62,5.475590313318038
0.614070351758794,0.62,5.475590313318038
0.6281407035175879,0.62,5.475590313318038
0.6422110552763819,0.62,5.475590313318038
0.6562814070351759,0.62,5.475590313318038
0.6703517587939698,0.62,5.475590313318038
0.6844221105527638,0.62,5.475590313318038
0.6984924623115578,0.62,5.475590313318038
0.7125628140703517,0.62,5.475590313318038
0.7266331658291457,0.62,5.475590313318038
0.7407035175879397,0.62,5.475590313318038
0.7547738693467336,0.62,5.475590313318038
0.7688442211055276,0.62,5.475590313318038
0.7829145728643215,0.62,5.475590313318038
0.7969849246231155,0.62,5.475590313318038
0.8110552763819094,0.62,5.475590313318038
0.8251256281407034,0.62,5.475590313318038
0.8391959798994975,0.62,5.475590313318038
0.8532663316582914,0.62,5.475590313318038
0.8673366834170854,0.62,5.475590313318038
0.8814070351758794,0.62,5.475590313318038
0.8954773869346733,0.62,5.475590313318038
0.9095477386934673,0.62,5.475590313318038
0.9236180904522613,0.62,5.475590313318038
0.9376884422110552,0.62,5.475590313318038
0.9517587939698492,0.62,5.475590313318038
0.9658291457286432,0.62,5.475590313318038
0.9798994974874371,0.62,5.475590313318038
0.9939698492462311,0.62,5.475590313318038
1.0080402010050251,0.62,5.544605949482561
1.022110552763819,0.62,5.5472272126378686
1.0361809045226131,0.62,5.5472272126378686
1.050251256281407,0.62,5.5472272126378686
1.064321608040201,0.62,5.561088022924122
1.0783919597989948,0.62,5.561088022924122
1.092462311557789,0.62,5.561088022924122
1.1065326633165828,0.62,5.561088022924122
1.120603015075377,0.62,5.570172999061159
1.1346733668341709,0.62,5.588342951335231
1.1487437185929648,0.62,5.588342951335231
1.1628140703517587,0.62,5.588342951335231
1.1768844221105526,0.62,5.597427927472268
1.1909547738693467,0.62,5.615597879746341
1.2050251256281408,0.62,5.615597879746341
1.2190954773869347,0.62,5.697498273370714
1.2331658291457286,0.62,5.697498273370714
1.2472361809045225,0.62,5.695066421493615
1.2613065326633164,0.62,5.8474489189546865
1.2753768844221105,0.62,5.909534149976084
1.2894472361809044,0.62,5.909534149976084
1.3035175879396985,0.62,6.131307339285248
1.3175879396984924,0.62,6.131307339285248
1.3316582914572863,0.62,6.257329993305268
1.3457286432160802,0.62,6.425994484308211
1.3597989949748743,0.62,6.661607910086748
1.3738693467336682,0.62,6.661607910086748
1.3879396984924623,0.62,6.732090013923447
1.4020100502512562,0.62,6.732090013923447
1.4160804020100501,0.62,6.732090013923447
1.430150753768844,0.62,6.6668215967363365
1.444221105527638,0.62,6.6529714550715635
1.458291457286432,0.62,6.600237206522797
1.4723618090452262,0.62,6.600237206522797
1.48643216080402,0.62,6.537790112132297
1.500502512562814,0.62,6.516279410778781
1.5145728643216079,0.62,6.502429269114008
1.5286432160804018,0.62,6.492716423272276
1.5427135678391959,0.62,6.461492876077026
1.55678391959799,0.62,6.451780030235294
1.570854271356784,0.62,6.420556483040045
1.5849246231155778,0.62,6.4011307913565805
1.5989949748743717,0.62,6.369907244161331
1.6130653266331656,0.62,6.4046540552222835
1.6271356783919595,0.62,6.439400866283238
1.6412060301507538,0.62,6.439400866283238
1.6552763819095477,0.62,6.4915210828746694
1.6693467336683416,0.62,6.526267893935623
1.6834170854271355,0.62,6.561014704996578
1.6974874371859294,0.62,6.622111454303183
1.7115577889447233,0.62,6.615802683737238
1.7256281407035177,0.62,6.626482135639338
1.7396984924623116,0.62,6.653180765394595
1.7537688442211055,0.62,6.64172674571504
1.7678391959798994,0.62,6.6386695988507896
1.7819095477386933,0.62,6.644009324801841
1.7959798994974872,0.62,6.665368228606044
1.8100502512562815,0.62,6.645807381581195
1.8241206030150754,0.62,6.563387788983076
1.8381909547738693,0.62,6.549651190216723
1.8522613065326632,0.62,6.505674292523416
1.866331658291457,0.62,6.491937693757063
1.880402010050251,0.62,6.423254699925299
1.8944723618090449,0.62,6.423254699925299
1.9085427135678392,0.62,6.529793166822044
1.9226130653266331,0.62,6.542129581833448
1.936683417085427,0.62,6.47201521566182
1.950753768844221,0.62,6.47201521566182
1.9648241206030148,0.62,6.797783229565296
1.9788944723618087,0.62,6.812886745970948
1.992964824120603,0.62,6.89810462854823
2.007035175879397,0.62,6.757875896204972
2.021105527638191,0.62,6.6527043469475275
2.0351758793969847,0.62,6.271925483278074
2.0492462311557786,0.62,5.926203802694435
2.0633165829145725,0.62,5.8911466196086195
2.077386934673367,0.62,5.630642821602263
2.091457286432161,0.62,5.249863957932809
2.1055276381909547,0.62,5.247096856538561
2.1195979899497486,0.62,5.588744951933879
2.1336683417085425,0.62,5.73783668714008
2.1477386934673364,0.62,6.505644449753779
2.1618090452261307,0.62,6.826177006748881
2.1758793969849246,0.62,7.593984769362582
2.1899497487437185,0.62,7.903342783066334
2.2040201005025124,0.62,8.852532362577804
2.2180904522613063,0.62,9.150715832990205
2.2321608040201,0.62,9.437724760111253
2.246231155778894,0.62,9.575641952026103
2.2603015075376884,0.62,9.5532928654434
2.2743718592964823,0.62,9.7023846006496
2.2884422110552762,0.62,9.850242787673313
2.30251256281407,0.62,9.715201216500823
2.316582914572864,0.62,9.688810135607401
2.330653266331658,0.62,9.459383172117109
2.3447236180904523,0.62,9.331474149925251
2.358793969849246,0.62,8.89483496029911
2.37286432160804,0.62,8.650124284592621
2.386934673366834,0.62,8.522215262400763
2.401005025125628,0.62,8.394306240208907
2.4150753768844218,0.62,8.529276248802745
2.429145728643216,0.62,8.461210374799709
2.44321608040201,0.62,8.419535581690093
2.457286432160804,0.62,8.419535581690093
2.471356783919598,0.62,8.33618599547086
2.4854271356783917,0.62,8.2570127527906
2.4994974874371856,0.62,8.316855900979418
2.51356783919598,0.62,8.316855900979418
2.527638190954774,0.62,7.988521582708191
2.5417085427135677,0.62,7.988521582708191
2.5557788944723616,0.62,7.56977669181575
2.5698492462311555,0.62,7.267833454437944
2.5839195979899494,0.62,7.071656549438434
2.5979899497487433,0.62,6.875479644438924
2.6120603015075377,0.62,6.6946584991965015
2.6261306532663315,0.62,6.6042479265752885
2.6402010050251254,0.62,6.6042479265752885
2.6542713567839193,0.62,6.412391460196529
2.6683417085427137,0.62,6.4431029797107
2.6824120603015076,0.62,6.372368605467324
2.6964824120603015,0.62,6.312669552360283
2.7105527638190954,0.62,6.367256644255342
2.7246231155778893,0.62,6.394353700944082
2.738693467336683,0.62,6.3660777087026075
2.7527638190954775,0.62,6.337801716461134
2.7668341708542714,0.62,6.337408737943556
2.7809045226130653,0.62,6.392388808356193
2.794974874371859,0.62,6.364112816114718
2.809045226130653,0.62,6.336229802390821
2.823115577889447,0.62,6.141834663358701
2.837185929648241,0.62,5.920342467637839
2.8512562814070352,0.62,5.837086404983728
2.865326633165829,0.62,5.753437363812037
2.879396984924623,0.62,5.7255543500881405
2.893467336683417,0.62,5.476179140643382
2.907537688442211,0.62,5.3283491766622415
2.9216080402010047,0.62,5.190253271862223
2.935678391959799,0.62,5.052157367062204
2.949748743718593,0.62,4.868029493995511
2.963819095477387,0.62,4.683901620928818
2.9778894472361808,0.62,4.591837684395472
2.9919597989949747,0.62,4.361677843062106
3.0060301507537686,0.62,4.269613906528759
3.020100502512563,0.62,4.269613906528759
3.034170854271357,0.62,4.269613906528759
3.0482412060301507,0.62,4.269613906528759
3.0623115577889446,0.62,4.269613906528759
3.0763819095477385,0.62,4.269613906528759
3.0904522613065324,0.62,4.269613906528759
3.1045226130653267,0.62,4.269613906528759
3.1185929648241206,0.62,4.269613906528759
3.1326633165829145,0.62,4.269613906528759
3.1467336683417084,0.62,4.269613906528759
3.1608040201005023,0.62,4.269613906528759
3.174874371859296,0.62,4.269613906528759
3.18894472361809,0.62,4.269613906528759
3.2030150753768845,0.62,4.269613906528759
3.2170854271356784,0.62,4.269613906528759
3.2311557788944723,0.62,4.269613906528759
3.245226130653266,0.62,4.269613906528759
3.25929648241206,0.62,4.269613906528759
3.273366834170854,0.62,4.269613906528759
3.2874371859296483,0.62,4.269613906528759
3.301507537688442,0.62,4.269613906528759
3.315577889447236,0.62,4.269613906528759
3.32964824120603,0.62,4.269613906528759
3.343718592964824,0.62,4.269613906528759
3.3577889447236178,0.62,4.269613906528759
3.371859296482412,0.62,4.269613906528759
3.385929648241206,0.62,4.269613906528759
3.4,0.62,4.269613906528759
0.6,0.6333668341708543,5.475590313318038
0.614070351758794,0.6333668341708543,5.475590313318038
0.6281407035175879,0.6333668341708543,5.475590313318038
0.6422110552763819,0.6333668341708543,5.475590313318038
0.6562814070351759,0.6333668341708543,5.475590313318038
0.6703517587939698,0.6333668341708543,5.475590313318038
0.6844221105527638,0.6333668341708543,5.475590313318038
0.6984924623115578,0.6333668341708543,5.475590313318038
0.7125628140703517,0.6333668341708543,5.475590313318038
0.7266331658291457,0.6333668341708543,5.475590313318038
0.7407035175879397,0.6333668341708543,5.475590313318038
0.7547738693467336,0.6333668341708543,5.475590313318038
0.7688442211055276,0.6333668341708543,5.475590313318038
0.7829145728643215,0.6333668341708543,5.475590313318038
0.7969849246231155,0.6333668341708543,5.475590313318038
0.8110552763819094,0.6333668341708543,5.475590313318038
0.8251256281407034,0.6333668341708543,5.475590313318038
0.8391959798994975,0.6333668341708543,5.475590313318038
0.8532663316582914,0.6333668341708543,5.475590313318038
0.8673366834170854,0.6333668341708543,5.475590313318038
0.8814070351758794,0.6333668341708543,5.475590313318038
0.8954773869346733,0.6333668341708543,5.475590313318038
0.9095477386934673,0.6333668341708543,5.475590313318038
0.9236180904522613,0.6333668341708543,5.475590313318038
0.9376884422110552,0.6333668341708543,5.475590313318038
0.9517587939698492,0.6333668341708543,5.475590313318038
0.9658291457286432,0.6333668341708543,5.475590313318038
0.9798994974874371,0.6333668341708543,5.475590313318038
0.9939698492462311,0.6333668341708543,5.475590313318038
