аск,твин,Wave
-11.200000000000003,-11.200000000000003,724.0909999999997
-9.961809045226133,-11.200000000000003,724.0909999999997
-8.723618090452264,-11.200000000000003,724.0909999999997
-7.485427135678395,-11.200000000000003,724.0909999999997
-6.247236180904526,-11.200000000000003,724.0909999999997
-5.009045226130657,-11.200000000000003,724.0909999999997
-3.7708542713567876,-11.200000000000003,724.0909999999997
-2.5326633165829193,-11.200000000000003,724.0909999999997
-1.2944723618090492,-11.200000000000003,724.0909999999997
-0.05628140703517914,-11.200000000000003,724.0909999999997
1.1819095477386892,-11.200000000000003,724.0909999999997
2.4201005025125575,-11.200000000000003,724.0909999999997
3.6582914572864276,-11.200000000000003,724.0909999999997
4.896482412060298,-11.200000000000003,724.0909999999997
6.134673366834164,-11.200000000000003,724.0909999999997
7.372864321608034,-11.200000000000003,724.0909999999997
8.611055276381904,-11.200000000000003,724.0909999999997
9.849246231155774,-11.200000000000003,724.0909999999997
11.087437185929645,-11.200000000000003,724.0909999999997
12.325628140703511,-11.200000000000003,724.0909999999997
13.563819095477381,-11.200000000000003,724.0909999999997
14.802010050251251,-11.200000000000003,724.0909999999997
16.040201005025118,-11.200000000000003,724.0909999999997
17.278391959798988,-11.200000000000003,724.0909999999997
18.516582914572858,-11.200000000000003,724.0909999999997
19.754773869346728,-11.200000000000003,724.0909999999997
20.992964824120598,-11.200000000000003,724.0909999999997
22.23115577889447,-11.200000000000003,724.0909999999997
23.46934673366833,-11.200000000000003,724.0909999999997
24.7075376884422,-11.200000000000003,723.7717499999997
25.94572864321607,-11.200000000000003,721.8272499999997
27.18391959798994,-11.200000000000003,721.1887499999998
28.42211055276381,-11.200000000000003,720.6384999999999
29.66030150753768,-11.200000000000003,719.95925
30.89849246231155,-11.200000000000003,719.43625
32.13668341708542,-11.200000000000003,719.2325000000001
33.37487437185929,-11.200000000000003,718.7095000000002
34.613065326633155,-11.200000000000003,718.62125
35.851256281407025,-11.200000000000003,717.7405000000001
37.089447236180895,-11.200000000000003,717.1767500000001
38.327638190954765,-11.200000000000003,716.9730000000002
39.565829145728635,-11.200000000000003,716.6810000000003
40.804020100502505,-11.200000000000003,716.0087500000002
42.042211055276375,-11.200000000000003,715.3365000000002
43.28040201005024,-11.200000000000003,714.4695000000003
44.51859296482411,-11.200000000000003,714.4695000000003
45.75678391959798,-11.200000000000003,713.8442500000002
46.99497487437185,-11.200000000000003,713.2190000000003
48.23316582914572,-11.200000000000003,712.857
49.47135678391959,-11.200000000000003,712.9704999999999
50.70954773869346,-11.200000000000003,712.14725
51.94773869346733,-11.200000000000003,712.0542499999999
53.1859296482412,-11.200000000000003,711.2474999999998
54.42412060301507,-11.200000000000003,709.4772499999998
55.66231155778894,-11.200000000000003,707.8169999999998
56.90050251256281,-11.200000000000003,707.1974999999998
58.138693467336665,-11.200000000000003,706.7872499999997
59.376884422110535,-11.200000000000003,706.3769999999997
60.615075376884406,-11.200000000000003,705.2984999999996
61.853266331658276,-11.200000000000003,705.0919999999996
63.091457286432146,-11.200000000000003,704.8962499999997
64.32964824120602,-11.200000000000003,704.7004999999997
65.56783919597989,-11.200000000000003,704.5699999999997
66.80603015075376,-11.200000000000003,704.5699999999997
68.04422110552763,-11.200000000000003,704.1784999999998
69.2824120603015,-11.200000000000003,703.9827499999998
70.52060301507537,-11.200000000000003,703.5287499999997
71.75879396984924,-11.200000000000003,703.0917499999998
72.9969849246231,-11.200000000000003,703.0349999999997
74.23517587939698,-11.200000000000003,702.4844999999998
75.47336683417085,-11.200000000000003,701.4004999999999
76.71155778894472,-11.200000000000003,700.43
77.94974874371859,-11.200000000000003,699.07925
79.18793969849244,-11.200000000000003,698.3187499999999
80.42613065326631,-11.200000000000003,698.3187499999999
81.66432160804018,-11.200000000000003,698.0519999999999
82.90251256281405,-11.200000000000003,696.45275
84.14070351758792,-11.200000000000003,695.539
85.3788944723618,-11.200000000000003,694.2432500000001
86.61708542713566,-11.200000000000003,693.6530000000001
87.85527638190953,-11.200000000000003,693.3862500000001
89.0934673366834,-11.200000000000003,693.3112500000002
90.33165829145727,-11.200000000000003,693.6602500000002
91.56984924623114,-11.200000000000003,693.6422500000002
92.80804020100501,-11.200000000000003,693.6422500000002
94.04623115577888,-11.200000000000003,693.6422500000002
95.28442211055275,-11.200000000000003,693.7937500000002
96.52261306532662,-11.200000000000003,693.7937500000002
97.76080402010048,-11.200000000000003,694.2942500000001
98.99899497487435,-11.200000000000003,694.2942500000001
100.23718592964822,-11.200000000000003,694.1452500000003
101.47537688442209,-11.200000000000003,693.9962500000003
102.71356783919596,-11.200000000000003,693.9962500000003
