true Wave,predicted Wave
720.27,719.74975
705.81,697.6899999999998
719.01,712.63825
724.89,715.5112500000005
716.74,716.05275
708.48,711.2009999999998
698.87,704.8725000000004
704.95,700.0697499999999
691.31,698.0642499999999
700.32,701.5074999999999
703.6,702.0049999999999
694.05,699.1692500000001
698.99,699.0562499999999
705.87,702.8684999999999
692.93,701.755
696.39,693.715
694.87,696.7479999999998
692.21,695.6947499999998
700.09,697.3585
696.72,692.5310000000001
