true I(max) - I(450),predicted I(max) - I(450)
0.04952911027765688,0.0531023833316447
0.05627882926759648,0.06309511385895074
0.06364315275431598,0.06304520387175824
0.04970534630060314,0.050991302194242936
0.04865660387457468,0.050069576519253235
0.05785830488403701,0.05651373525322471
0.05129575493865277,0.048178416301197693
0.06769064233844732,0.06671666936075527
0.05318360303143424,0.05577830872889024
0.07193984020941996,0.06268752259287881
0.06122542571861125,0.05292081370643749
0.06224911738194275,0.05790999778804375
0.05383681773022486,0.061576899143444865
0.04801115628260041,0.05256407802747422
