true height50,predicted height50
0.1544877928461781,0.16159207906536643
0.1664728495147064,0.17218496309115866
0.188006112719775,0.1827537674903768
0.1705383653011492,0.17464185560630768
0.1677377864134561,0.1719357087311186
0.172450626062254,0.17060195310297058
0.1589360376786977,0.1626976075085312
0.1945941160293504,0.19036688823322576
0.1696328322016343,0.16778844808883386
0.1944008736718403,0.1930441757380205
0.1727493989406691,0.17478662322999572
0.1914821502287177,0.18805420221285515
0.1838230879068649,0.18313615337460148
0.1742085319917164,0.16950286333202297
