true I(650),predicted I(650)
0.0998645918805665,0.09242305189004921
0.0794748453908767,0.08897605984255898
0.09043024041827674,0.08467438514950379
0.09005724005988634,0.09273901803002227
0.08982361009832596,0.08237805670502668
0.09591015316510054,0.08668860324283222
0.08558357192661176,0.0912509262601324
0.08547153727227816,0.09402539173191057
0.09066218632633287,0.0906754254953329
0.08418888775678797,0.09020471368435848
0.09015237196513506,0.08422838022406667
0.09221134496814672,0.0944671964024584
0.09080665933179519,0.09244646689666898
0.09431627705050612,0.08821063194876261
0.09317955808838067,0.08839157828102256
