true I(max) - I(450),predicted I(max) - I(450)
0.07687486814800111,0.07034489690214266
0.05776746534686951,0.06432139610681817
0.06705033155538505,0.06714791052551332
0.07410492442951966,0.07330078305444633
0.07982013915772462,0.07327616088176245
0.05945512207165712,0.062095233316426836
0.0714150642211185,0.07456214616252291
0.04739266353558153,0.06280086720624274
0.0509139017944175,0.05250247251528689
0.05627928784811256,0.052268346772945305
0.0736625041529415,0.06904404562378716
0.06823776203044579,0.06380716739565856
0.07535898786332212,0.06909542909626977
0.06777759376880137,0.07109726909939046
0.06334645453552296,0.0641381545098422
