true I(max) d I(650),predicted I(max) d I(650)
2.306085977661313,2.8734199771987305
2.5041322791489,2.8783173188171425
2.908453411008506,2.643073324564767
2.659762235858947,2.6094369224003438
2.443148083567822,2.240073745339301
2.837726690343087,2.408670182897745
2.968325481800266,2.443303732230841
2.392121927715306,2.8302006506040835
2.643073324564766,2.744081452877275
2.198680715999753,2.7155214351986645
2.810317541851754,2.5041322791489007
2.787553092083056,2.3534057501910097
2.302163289348623,2.38175063227654
2.566375295720011,2.936723893810563
2.306709302920531,2.302163289348623
