true I(max),predicted I(max)
0.1466559183725644,0.154579643927415
0.1248453945577417,0.13404270582193475
0.1272732018280926,0.12802269319261808
0.1229887335406214,0.13417202791446065
0.144766820596531,0.14292970665782617
0.1244306951612655,0.12199163245906933
0.1198802622799403,0.12208881967529628
0.1435057337960175,0.13196726320415286
0.163180443846077,0.15602308134124296
0.1440345933518777,0.14380448376267624
0.1514567361720056,0.1434585355778839
0.1377986135117318,0.14718289845757143
0.115839384412927,0.11988026227994023
0.1643548644963335,0.15490511860873304
