true I(max) d I(450),predicted I(max) d I(450)
1.60973102891643,1.4744292877056047
1.628472333910558,1.4862071396484446
1.518853129284761,1.5372879970559354
1.616941622207827,1.4209060361939243
1.593066211432122,1.458063976191328
1.452021376722172,1.4059098304114872
1.495757855537469,1.471640845673582
1.470419891873661,1.4862434236674744
1.511154017962912,1.5199947306076766
1.362303362825165,1.4154834643228227
1.430809915469316,1.4817238322171709
1.492992736937695,1.5776969172546749
1.356299051363254,1.359755017414395
1.472938531063888,1.4349137165822428
1.388328142148536,1.5251731418888634
1.371003419519695,1.5426648541344912
1.381852036751447,1.40910104793767
1.403770693266247,1.4677519642477765
1.409202841705632,1.433239309750474
1.35877352090755,1.3556357621893595
1.336472168323071,1.3589031231020674
1.409302436148689,1.4139460121314285
1.380173960549558,1.3764449411178303
1.419994722352833,1.4161505414056035
1.379557005669413,1.3848615918772513
1.448903982848319,1.431213200647493
1.429527597925582,1.358594690228542
1.386984171588115,1.3967219401910684
1.379327925971984,1.4004688278670259
1.319376332810685,1.3917265034472153
