true I(max),predicted I(max)
0.1510467426383691,0.14000429370722714
0.18687133363319,0.16144700334860815
0.1622827644668785,0.16740413591594655
0.1620437647555032,0.1391546464198018
0.1663095645462192,0.17390868426553316
0.1597174841954135,0.1720046611560923
0.1493678537679528,0.14805897011231267
0.1185668909401154,0.1481967523901839
0.1699472281569415,0.20795799351015157
0.1262279520643319,0.17491576707908704
0.1305467768048452,0.1473936382885707
0.1281524476729305,0.14577110235961663
0.1467739725293752,0.16678450314437693
0.1278690134822897,0.13877522684100702
0.1247774105427899,0.12786380740518774
0.1476374782421774,0.13910916071779117
0.1673549456067156,0.18225347113585136
0.1577499780929103,0.16683539842479328
0.2009873632965769,0.20076679023275718
0.1785362783384742,0.19121080462845277
0.2096499760759295,0.20722989140671805
0.1701127870793195,0.15339564330832273
0.1794263980259843,0.14673283533504403
0.1991440368922492,0.18144644088856748
0.148032002593155,0.15761899713401767
0.1541824229844803,0.14758870563945986
0.1476210969643505,0.14369840204063336
0.1562153915936028,0.17326830731634824
0.1541876967130173,0.15821116781735683
0.1552497812794266,0.16033947966217446
0.1598410200384666,0.1586694771945439
0.1796725996400625,0.15242572085638084
0.2344890448928223,0.22500216543378276
0.2073782062838123,0.20624206757877545
0.2256180036108331,0.2298866117324975
0.2177529243098235,0.22024481204957297
0.2018371638254278,0.20079465300379576
0.1988295294943661,0.1853513380842522
0.22276546351961,0.20134941738278073
0.2014395483819878,0.20924409329026
0.196495336085485,0.19691140283756028
0.2066458577673262,0.20233832489633835
0.1877148071822762,0.17300234256749336
0.2301794208632827,0.23017762702554956
0.2007368281172766,0.2052373509617214
