true I(450),predicted I(450)
0.0956444691200411,0.08505086038888912
0.1222647275331493,0.10757554465199123
0.1061705509210068,0.0914432776529264
0.1064208777522052,0.09122626838892649
0.1115149812467954,0.10065429577067245
0.09893095122080903,0.11401943488522134
0.08782655354946631,0.0856582554625718
0.0651247120436319,0.08859006836355689
0.1007447300440321,0.13945169696914902
0.07485518368521409,0.12493265999458
0.07254666419758668,0.08536018505333333
0.07272162121116978,0.08786731361171499
0.08322166929824121,0.09742990177774166
0.07126215364401167,0.08286044220722118
0.07281228596651801,0.07556617254306922
0.08632344726603527,0.08107770318040229
0.1021146479523631,0.1121740245771371
0.1157965122876641,0.11344023101353533
0.1346204561643252,0.13715589623124522
0.1316348914046813,0.13500118397250155
0.142334504566529,0.1455802535921171
0.122530676945047,0.10467281982245658
0.1308723198435514,0.09244498677423088
0.1222888671458308,0.11566328046657845
0.09746301320316883,0.1021748003764165
0.09535435347007415,0.10216779908626354
0.09266475925796157,0.1059368245791272
0.1075847739557713,0.12439838105586085
0.1030833273863122,0.10530010584716494
0.1055819376066804,0.10621543517105177
0.1057741422372935,0.10138653626718457
0.1300230378228115,0.11053682994181253
0.1618389124942934,0.16112677919997753
0.1450676479312069,0.15016432852868405
0.1626680449802808,0.1603501420124755
0.1578688578761119,0.15719144892438508
0.152979221171454,0.14005011599542555
0.1416396071296631,0.12575260723185194
0.1580790620958338,0.13548556425958175
0.1482510111379287,0.15344638189828916
0.1470253857452461,0.14592690446742476
0.1466298875719278,0.14344125701533345
0.136008077639381,0.12879533558387107
0.1620987861714664,0.15964546788222095
0.1455081792867788,0.14688948635861507
