true I(max),predicted I(max)
0.238563268274433,0.26163132695922037
0.190151793519327,0.26762778834416046
0.2488002976934368,0.1975736799236949
0.260458131475024,0.23365270904151694
0.2251948288599658,0.2222841067564035
0.2666073667624351,0.2630652325510158
0.2075925889477209,0.22545611569473403
0.1997284211378662,0.26181101252665934
0.3028157356654799,0.20966957413940376
0.2281385621188667,0.2365947208603841
0.229756316509535,0.20878880276362577
0.2748217273598814,0.2115106431402065
0.2630652325510158,0.24967270398319164
0.22453309903753,0.2714602704392736
0.2389462450695191,0.25412838619723616
