true I nm,predicted I nm
539.047,536.0376500000002
542.835,536.1536250000003
542.835,538.17355
542.835,538.2493499999999
539.047,540.5614499999999
542.835,537.31285
539.047,535.2530000000004
542.835,540.6479499999998
536.978,536.8828249999999
540.081,537.5973000000001
539.047,536.576225
539.047,533.1810000000004
539.047,535.6798250000003
536.978,536.5503499999998
533.181,539.0469999999999
535.253,539.0469999999999
535.253,537.44885
535.943,536.1586249999999
535.253,538.5814749999998
535.253,536.4415499999998
535.253,539.5286499999997
538.013,536.6756250000001
541.114,537.2408750000002
535.253,536.9160750000003
535.253,535.3220000000003
535.253,535.7705000000002
533.181,540.7663499999996
532.835,535.9582500000002
535.253,537.3811000000003
535.253,537.9067
535.253,538.0624500000001
535.253,535.5721250000001
536.978,537.4523750000001
538.013,537.3828749999997
535.253,535.3909750000003
535.253,536.9691499999999
535.253,535.2616250000003
535.253,536.0120000000004
535.253,536.0206250000003
535.253,536.037875
538.013,535.4944999999999
535.598,536.2621250000001
538.013,535.7015000000004
