true I(max) - I(450),predicted I(max) - I(450)
0.06763290509648912,0.06406400221147458
0.05137276837911785,0.055774919360692746
0.05800011260725857,0.05825273382460707
0.05543082646176074,0.05998846362858866
0.06355230323113398,0.06244564339828329
0.05660685983827801,0.05444319918212524
0.05196512457627185,0.05434590443266231
0.0613140309761421,0.058462812534280706
0.06524029765435248,0.06765455442395478
0.06154130021848644,0.06228448826157995
0.06441861607479975,0.06263521813846183
0.059143701372149,0.060987503911656395
0.05344217889648349,0.05196512457627184
0.06920249811290935,0.06458928269613212
0.04964956181725097,0.0534138036742812
0.05718992236470294,0.06018662540458495
0.06468640142377619,0.0658780775250942
0.05318853724405911,0.05260473867964512
0.04946995034023893,0.05479641173626408
0.06001597019539837,0.05835408747005547
0.05170672954289526,0.05043642715513099
0.0680806346918163,0.06854820853640092
0.0552286488304978,0.05420742739809248
0.07265013239852888,0.06507197751739764
0.06231055835260541,0.05393506032803005
0.0629499586305523,0.06403303787227718
0.05988406643371152,0.06290087824225456
0.04885794265397375,0.05512787955662981
