true I(max),predicted I(max)
0.1836961569182094,0.17860568663954296
0.1640552630050837,0.1628838855486107
0.1708821385452552,0.16382971570978253
0.1963005382378458,0.1859305534554669
0.1952637270478537,0.18617063069079665
0.1528794901798751,0.16401705306108713
0.1824631591554943,0.1774215918018504
0.1437722412958881,0.16166576546327888
0.1396243022303201,0.14987060174174896
0.1498795462900039,0.152126627023859
0.1859885966754141,0.17490530948711616
0.1711554436010248,0.17628049592149211
0.1735320433106226,0.169536460998829
0.1601234641484519,0.16720098292223953
0.1638459976508935,0.16902849974441095
