true coef A,predicted coef A
-6.615317800149675e-05,-6.07710884533254e-05
-4.672043769254061e-05,-5.223468850018452e-05
-5.666555746465207e-05,-5.467930510633535e-05
-6.542018466083883e-05,-5.909739751745181e-05
-6.848284377175094e-05,-6.400350839579431e-05
-4.824871833445748e-05,-5.10784581410898e-05
-6.193366938570762e-05,-6.205658066001174e-05
-4.01486754989528e-05,-4.650192423592919e-05
-4.024514433233784e-05,-4.201853202094847e-05
-4.371030696942069e-05,-4.408154902789379e-05
-5.625039974443057e-05,-5.344977931027278e-05
-4.997207623236995e-05,-5.2352574688026296e-05
-6.187494309186584e-05,-5.754764569741743e-05
-5.322056906752337e-05,-5.708875765371851e-05
-4.843102275251772e-05,-4.9860364278169444e-05
