true I(max)-I(400),predicted I(max)-I(400)
1.348320822218517,1.3530933971802126
1.313870439182742,1.289922880685044
1.200646455579681,1.315678702851669
1.272664724355081,1.3475385678833725
1.248166351228486,1.327856694058438
1.321356858303868,1.3218212711367425
1.349280338680856,1.3333655317511366
1.316467442924102,1.318801833197619
1.181944779504415,1.2289958622062058
1.247824181201626,1.2663563993456113
1.305673687578001,1.3521311575437585
1.296417861475689,1.3325761038302635
1.325400379484944,1.2782610284453957
1.308016612128855,1.2951216169904205
1.356342580797973,1.3203395992350113
1.414409918044761,1.3712226027228829
1.3921614813104,1.3763095047410514
1.365448883068654,1.368647117538695
1.344997723321687,1.3388875598737484
1.349813813502237,1.3178243660496765
1.349410401705068,1.3399435156399095
1.339476952320008,1.2692104689854136
1.371570525051931,1.4012728561613255
1.290505560799065,1.3252367070031346
1.350982392946117,1.2315985531127243
1.373509183855913,1.364917130651386
1.372948983443456,1.3480165022459263
1.365069436805866,1.3701457382078688
1.351682975520127,1.3193385937390592
1.386824902747997,1.3466062959782115
1.369765503375218,1.3698105445941597
1.374723197531662,1.3452645633069946
