true coef A,predicted coef A
-6.175688481010371e-05,-5.267678252647884e-05
-6.5692963182685e-05,-5.836465373171275e-05
-1.619261156395198e-05,-4.070644769792353e-05
-3.594595218705004e-05,-3.182615724632802e-05
-4.166389695590882e-05,-4.2868328122097706e-05
-6.51987410300978e-05,-4.713552286116491e-05
-6.888667457127273e-05,-6.541751911754261e-05
-5.279929861282003e-05,-3.8243534058528974e-05
-4.563365389208145e-05,-3.6910841087128185e-05
-4.848792114812375e-05,-6.205818237199937e-05
-3.749626055752735e-05,-5.192294644858234e-05
-3.67645476617455e-05,-3.6915808561938874e-05
-6.936469976960607e-05,-6.232342199515969e-05
-3.36297671281474e-05,-3.7703238398661185e-05
-3.861820631240638e-05,-4.698227144774344e-05
-1.997972051524378e-05,-3.260166411147489e-05
-3.581124016099257e-05,-2.3066242393306946e-05
-3.508486387629145e-05,-3.108783378974654e-05
-3.527897825988348e-05,-3.1253023823378316e-05
-3.431486305372149e-05,-3.5545767830750085e-05
-3.568254456153432e-05,-3.106436975472445e-05
-3.960438791685916e-05,-3.965198775664318e-05
-3.134800044430894e-05,-2.0378932547127403e-05
-3.823282079036184e-05,-6.085893618405057e-05
-4.113498075964382e-05,-2.00838991573197e-05
-2.792847901009398e-05,-3.2155595736152805e-05
-2.397184083408009e-05,-2.964495649705362e-05
-2.61934896859293e-05,-2.4884375674827527e-05
-5.496859077497075e-05,-5.097972601046589e-05
-4.797760248275734e-05,-5.887647729849844e-05
-2.317677098018522e-05,-3.29259150184736e-05
-2.81437208477524e-05,-3.426647718293143e-05
