true height,predicted height
37.93399999999997,37.02874999999997
34.53300000000002,35.31432500000001
46.75,38.551074999999955
38.95500000000004,40.54277499999995
37.58699999999999,36.008725
34.19500000000005,36.47679999999998
36.56399999999996,35.86087500000001
36.928,37.76237499999998
32.32099999999991,38.62999999999999
36.22199999999998,34.21510000000002
40.33400000000006,37.97119999999997
40.35599999999999,38.310125000000035
34.529,36.05262499999996
41.38200000000006,39.218774999999994
37.98199999999997,38.06917500000001
49.19399999999996,42.294174999999974
42.03099999999995,50.11757499999995
37.56000000000006,42.341899999999946
39.64400000000001,40.89059999999995
39.98599999999999,39.35392500000001
37.58699999999999,41.03812500000002
37.60199999999998,38.48692499999999
42.35000000000002,48.676499999999976
36.94299999999998,35.228000000000044
39.66099999999994,44.165875000000014
41.35299999999995,39.65309999999995
47.12400000000002,43.87274999999998
45.73500000000001,47.499025
34.89100000000008,35.754299999999986
36.25199999999995,37.11252499999999
50.48500000000001,43.327399999999955
41.03499999999997,39.41160000000001
