true weight,predicted weight
0.2726403104196091,0.2322914221505648
0.2629725537250219,0.2548521375953384
0.2123274362201383,0.18852787221672246
0.2057262830392859,0.16281954119498238
0.2409277060172083,0.20196404795111125
0.2504285915713274,0.20969639816365476
0.2740616963193881,0.2697188803708427
0.241880527737626,0.18978830594175303
0.2308472913196574,0.24792970347033022
0.2650191658542811,0.2586009610857231
0.2468768572111044,0.22694816505493737
0.2279923436850461,0.19715451104851217
0.2847783362043197,0.266721148791538
0.2155872829253541,0.22620923076067925
0.1812560196902657,0.23005866932947422
0.1614130822452697,0.17261197259670996
0.1780841369031461,0.1639297606026161
0.1489157988824208,0.14738773601056399
0.1743410960320039,0.18048200173479195
0.1707608099260265,0.18454128180937046
0.1619109787669298,0.18731572081461287
0.1778220626434587,0.23640032920095147
0.1703023740453806,0.16020535804394256
0.1890231433374868,0.24765047082537456
0.1970399379275538,0.20381167089095226
0.1495063729416944,0.1563523335712833
0.1546708099155831,0.17363798597780672
0.1396920542291087,0.1406834222282595
0.2298053648407587,0.2553738753595386
0.1978518220659541,0.24376543965988148
0.1331395822953075,0.14257146042966137
0.1564760370621788,0.17886248834490248
