true I(max),predicted I(max)
0.2914642952803381,0.24455626334631578
0.2796769295758261,0.26309420727415944
0.2218853732897545,0.20161508240824727
0.2174301434722715,0.17628616480767326
0.2536203855895435,0.20735066073929045
0.2666437903805969,0.22031168168377308
0.2930273264887162,0.29336916047208206
0.257351027266236,0.20108958365811377
0.240308159684626,0.25329247702563995
0.2789480614813428,0.27051057810431656
0.262235235876513,0.2378737325759117
0.2418197888414851,0.21306747615998595
0.3034084466048147,0.2851588863035937
0.2290793524908309,0.22620970418535152
0.1940269085450173,0.25283360894939444
0.1741866538283856,0.1842898785227914
0.191599412929388,0.18189802686971984
0.1596377482701545,0.15886910962264603
0.186344129660138,0.1939389358414307
0.1826409922401896,0.19636949858565367
0.1731701599689496,0.1937496381812556
0.1898981103168601,0.24890014689032017
0.1827393712244224,0.17397435875735673
0.2003354252976523,0.26105893425920135
0.2107776540571131,0.20963886339292812
0.1604415652285484,0.1665209810457559
0.1659849652022194,0.17999659417704
0.1497575405704615,0.15534066401312543
0.2457957542239154,0.2733290222575582
0.2126846000497848,0.2730087375808621
0.1428379602075075,0.14975754057046145
0.1679217448484646,0.1795383906708742
