true I(450),predicted I(450)
0.1096446247096628,0.1110654373046974
0.1116593259323005,0.10985905138897287
0.1103985039523236,0.11134285119324401
0.1173305312354109,0.10664299862115392
0.09683216240461107,0.10632990219279956
0.1115149812467954,0.11136818738873763
0.1082552251644239,0.10016843719990554
0.1108853355619018,0.11535087084207155
0.09893095122080903,0.10914464691749563
0.0956444691200411,0.10977006550620756
0.1108166543168506,0.108803144546932
0.1138148996637622,0.10676141287421256
0.1222647275331493,0.11048404742636972
0.1061705509210068,0.11733053123541086
0.1064208777522052,0.1131877629424789
