true I(650),predicted I(650)
0.02528684541906431,0.017414314450757442
0.01189275504780618,0.011371614128692312
0.0157231766812481,0.02589028325990077
0.03086055727798028,0.039277542073881705
0.02981782453452664,0.024117191464390363
0.01176818032001102,0.027536692473155107
0.01740763664608169,0.017198521005692607
0.02349822256100966,0.03829087634417746
0.03569737683506223,0.02865748078330867
0.018784682635473,0.03058065759952754
0.03591432295961385,0.052476316834721745
0.03639644095748562,0.04785522028359389
0.01799055021060495,0.02947715936675736
0.01700759789605093,0.022346264827232773
0.02142981257896483,0.029196265841446117
0.04008069184192937,0.01618290608153134
0.04639187423526676,0.011422696046750148
0.02740596770243593,0.022685084251562883
0.03962121569996377,0.017314735077332565
0.0492337314882924,0.02381294032604401
0.03199892184213173,0.02922243216232063
0.02361423191646629,0.024654192718921837
0.0239963959219068,0.024171445594924932
0.01763625356756929,0.038313089208391396
0.0265066868913133,0.019120128532581677
0.02506482885115663,0.016823675272582515
0.0291546901876335,0.018044889815554375
0.02275609717978484,0.023145578661246315
0.02526449178533058,0.026756025970476483
0.01709984755851127,0.016751400183585473
0.02199280417136128,0.026629047801325773
0.007996810984206308,0.03471111086884448
0.007662528996558058,0.019992096994178067
0.01166641157831683,0.028036438984765228
0.01306474260417597,0.020067727669940614
0.01361457305143647,0.023810552489170078
0.01137161412869232,0.01189275504780618
0.01291472424996089,0.022806327585037353
0.02759678085106057,0.027116687668354365
0.01859408356611706,0.019741918454887167
0.01516659449564944,0.025947839974700394
0.01741431445075744,0.02528684541906432
0.009512518734090572,0.01531867339766744
0.02323831341970385,0.037685877188315224
0.01956722793799898,0.035494106603383785
0.0250237528926294,0.028642748924675658
0.02113721087331872,0.024924880268967723
0.01582359096626465,0.02503458669408894
0.02478694385801197,0.027338974902292534
0.02353289648652364,0.027760659644364034
0.02670210220513871,0.026621565588762962
0.03615486046389067,0.02810085077590225
0.02777597892561503,0.022397459692804794
0.0305039920806844,0.03438271530129948
0.03158182400927691,0.024575795606588166
0.03300221801784745,0.031669644447861724
0.03660186437553816,0.025689405901756092
0.04432249353049215,0.03956021153240251
0.03076782451887966,0.029310305896607592
0.03488624842609974,0.01555165139532404
0.03403453283316282,0.023707561879098286
0.03999137706099105,0.02585607325843885
0.05003426252481769,0.03529112428712562
0.05022531338555569,0.04248175833895891
0.04632519236184268,0.05217922684694517
0.04576386632574972,0.040516534945827506
0.04408958141739411,0.02537188981459635
0.05842199772544589,0.05890279842216495
0.04586011555310957,0.04370622141124104
0.0655630011072468,0.05838851184373357
0.05559525146878787,0.04161913811196578
0.06159834791435976,0.06445101160149505
0.05666708506123296,0.046141186400109016
0.04822998819652646,0.04042759287458594
