true г,predicted г
136.5959652646503,120.47619181238183
126.6033790170132,112.40715087429112
135.8156899810964,117.23128175212665
159.6593218336484,101.70844680411155
113.9315630907372,124.03255774456522
95.33982159735349,112.39814213138
109.2416115311909,122.96341047377128
111.8660798676749,105.15698620628541
112.8482100661626,120.44748124409261
99.92680765595463,105.05036108813799
89.61129489603024,95.96217730978262
110.8251713137996,110.16950466682415
90.4929997637051,100.3970411448488
94.72279655009451,101.93016156663514
72.00794541587902,97.52086631616258
114.7382738657845,107.54002023275048
89.0070888468809,97.98591017840263
98.86265359168242,104.58898348889406
127.0557655954631,118.70965560018897
123.3609995274102,97.66850115193759
