true I(650),predicted I(650)
0.02528684541906431,0.01957434626839333
0.01189275504780618,0.018628662966388872
0.0157231766812481,0.016001291216628917
0.03086055727798028,0.03384197359800238
0.02981782453452664,0.02847555963332745
0.01176818032001102,0.014575763342038018
0.01740763664608169,0.02241813704015239
0.02349822256100966,0.02893670078680683
0.03569737683506223,0.01599906910426601
0.018784682635473,0.022475532218990766
0.03591432295961385,0.03279811656580715
0.03639644095748562,0.031103207148157376
0.01799055021060495,0.015818698637657187
0.01700759789605093,0.015046836816982276
0.02142981257896483,0.020421151148299604
