true weight50,predicted weight50
64.77699999999999,49.764100000000006
50.15899999999999,49.15470000000001
47.39800000000002,47.94649999999998
49.81600000000003,53.034799999999976
49.79599999999994,49.56650000000001
50.13100000000003,50.77097499999998
48.00400000000002,55.302425000000014
43.44499999999994,53.19505000000004
49.11099999999999,49.49874999999999
47.74099999999999,48.233099999999965
47.75399999999996,49.10450000000003
50.80899999999997,58.910700000000006
49.79599999999994,52.30082500000001
49.11800000000005,47.89149999999995
55.93500000000006,46.94704999999998
