true height50,predicted height50
0.1940712792429101,0.21819962442920557
0.1690445722521249,0.22087023453045868
0.2198429493160439,0.19738426797386083
0.2031425913170762,0.2025900245564271
0.1857504670027686,0.1717913306690442
0.2258050471961005,0.1766820511428387
0.2215044964534464,0.19166392970803645
0.1851234751799433,0.22351017720482366
0.2025900245564272,0.2069001718668439
0.1609439718958969,0.2064211537901607
0.2135983125851937,0.1678294821986908
0.2126915043888039,0.19250541353189082
0.1806664423925286,0.18554521403159094
0.2048168110364202,0.2215044964534465
0.1808112984176979,0.18066644239252844
