true coef A,predicted coef A
-6.805383222680072e-05,-3.499208231195338e-05
-4.850538938904249e-05,-3.271959474618515e-05
-5.99584060702143e-05,-5.0496730062903454e-05
-6.669460042482223e-05,-5.5077180614328216e-05
-6.982642667251987e-05,-4.7989760703678594e-05
-5.057036998869231e-05,-4.927636614213375e-05
-6.357760104792132e-05,-4.895487780239916e-05
-4.334675561877842e-05,-4.203043020355639e-05
-4.04754679409548e-05,-3.916008780519257e-05
-4.416191869310499e-05,-4.262937203966447e-05
-5.739472682571776e-05,-5.556131032949492e-05
-5.095111335746174e-05,-5.21522633225169e-05
-6.598026114984441e-05,-4.713719666563089e-05
-5.885830189491785e-05,-5.4552551417111633e-05
-4.991966279691344e-05,-5.037475602431721e-05
-5.065862771897295e-05,-5.54072737119661e-05
-5.128985090074741e-05,-5.514435081116006e-05
-5.1749793813116e-05,-4.877517149842148e-05
-7.040417820911053e-05,-4.947327017875264e-05
-3.266275911869279e-05,-5.6602839421308665e-05
-4.023700186227306e-05,-5.039488862218837e-05
-6.003729466091912e-05,-4.637648055099785e-05
-6.243611194151939e-05,-5.457747052052391e-05
-4.747798553726603e-05,-4.635243282797159e-05
-4.50737836435676e-05,-6.060771212952973e-05
-5.087828624484443e-05,-5.0835779095114286e-05
-4.059381576705956e-05,-4.973496032750685e-05
-6.742662650629448e-05,-5.9202814797254156e-05
-6.065859316701173e-05,-5.984815675230497e-05
-4.459622070527717e-05,-4.384754259234231e-05
-4.307275015544434e-05,-6.405849350705052e-05
-4.351684730727598e-05,-4.705684973156603e-05
-4.82610024419143e-05,-5.364724547239322e-05
-4.406889554038158e-05,-6.264782343758839e-05
-4.844198401776235e-05,-5.607363967363061e-05
-3.479929610500823e-05,-4.5692091954497804e-05
-3.271959474618515e-05,-4.850538938904245e-05
-5.546364383123107e-05,-4.796198612335464e-05
-4.350011236767217e-05,-6.0328701634632815e-05
-4.623905384225282e-05,-5.863092160086532e-05
-4.977489329379623e-05,-5.368480581167713e-05
-3.499208231195337e-05,-6.805383222680072e-05
-3.022573054348444e-05,-4.453620806830188e-05
-4.462882639185181e-05,-6.182565566761796e-05
-6.714578560387175e-05,-5.321373540170871e-05
-7.055943584217165e-05,-5.3994376975551874e-05
-4.536461934413665e-05,-4.182053159789816e-05
-4.852609622838235e-05,-4.119112525351062e-05
-3.97085225041449e-05,-4.064879629128521e-05
-4.24153629418922e-05,-4.369526996148236e-05
-4.17675046617977e-05,-4.487229644699099e-05
-3.941309322386147e-05,-3.817035799241523e-05
-5.139381439419219e-05,-4.5754777609980594e-05
-3.581401438726426e-05,-4.0136468749535515e-05
-4.094029442823968e-05,-4.270927383709221e-05
-5.92493758920953e-05,-5.950127364283007e-05
-3.757757522641096e-05,-4.193039498836073e-05
-5.841433645115224e-05,-5.508908959012571e-05
-4.117114412310451e-05,-4.2145793879787216e-05
-4.421676259877174e-05,-4.749925013543434e-05
-4.455197786516497e-05,-4.328701801149341e-05
-5.211498553379311e-05,-5.459801477414329e-05
-6.258530843360315e-05,-5.711214282970026e-05
-5.086990458430256e-05,-4.9436777401402704e-05
-4.98894295292733e-05,-4.5609403774291607e-05
-5.332597460153557e-05,-5.42107556647044e-05
-4.389621721644745e-05,-4.492314926133923e-05
-5.635416063982501e-05,-6.15093685146884e-05
-4.706247924507226e-05,-5.0175340416394915e-05
-5.804888871132474e-05,-5.720529294702614e-05
-5.004379979328676e-05,-4.982132085021137e-05
-5.393538793955956e-05,-5.214592960525705e-05
-5.130264973296165e-05,-5.327065488319181e-05
-5.323768043374022e-05,-4.75074752784863e-05
