true I(max) d I(450),predicted I(max) d I(450)
1.789008029328602,1.698436662152088
1.686295402001202,1.5005980714372413
1.79948696812979,1.7480260304896755
1.762233095722662,1.7526546043802944
1.763650906873567,1.7261391897161311
1.794346745694162,1.7355073486965669
1.713686212244009,1.773689009630078
1.710282465749797,1.7371954684937514
1.638892646281142,1.701873469073107
1.700714052087046,1.748779557427983
1.710339445870833,1.720595133285682
1.724089899930049,1.7047579675175766
1.820612901300486,1.7136862122440086
1.686909360744361,1.4995963811038944
1.381852036751447,1.5483710907559216
1.403770693266247,1.5699028513209394
1.409202841705632,1.4770572213611626
1.35877352090755,1.355381343827913
1.336472168323071,1.351476998031813
1.409302436148689,1.4140192414148909
1.380173960549558,1.3562694942005322
1.419994722352833,1.4221057125770062
1.379557005669413,1.4038791168299956
1.448903982848319,1.408160597313695
1.429527597925582,1.3646490634124733
1.386984171588115,1.398461341612977
1.379327925971984,1.398350525529301
1.319376332810685,1.3937071824069158
