true B,predicted B
156.8578981568998,144.59726562499992
148.614721172023,133.6983858104915
155.9659735349717,140.09468114957468
173.9835184310019,133.67422096526465
139.8025460775047,145.01014148156904
123.249911389414,140.5480889650284
133.8740548204159,148.33473608813807
138.7990902646503,133.95821715500946
136.0091268903592,140.20592140241027
128.3547377126654,133.27601680647456
120.6202741020794,124.40024737121932
134.3376949432892,134.1995458707468
121.5670782136106,124.6034816576087
122.1156368147448,126.04676128308131
105.1048263232514,128.73898496573725
139.0017426748582,130.66343262641777
118.085656899811,122.65295590146505
126.0974125708885,131.7531294305293
146.2711483931947,140.68767057537823
142.7641186200378,125.06651996691872
