true ang,predicted ang
-0.001591549021990337,-0.001698905659470866
-0.001437011588604592,-0.0016670351706249485
-0.001477264650729517,-0.0014539363129109386
-0.001399253213345859,-0.0015294348446591858
-0.001608970957984356,-0.0015471637406201842
-0.001406245853006395,-0.0014198063188495748
-0.001407373672210574,-0.0014005698141250863
-0.001607690135553687,-0.0014909829101211777
-0.001677895290831344,-0.0017401185900364521
-0.001557868702809594,-0.0015781747788811361
-0.001677962215496035,-0.0016161763605773954
-0.001485333666656921,-0.001669922991076396
-0.001370174224700302,-0.001407373672210575
-0.001778254003225621,-0.001983139207671114
-0.001695298641956295,-0.0014866893926770105
-0.001873029743281935,-0.0017436311275974895
-0.002047887917303793,-0.0018361591161788035
-0.001810407820870991,-0.0019324896700057014
-0.001786214613525904,-0.0018136040298483366
-0.001911097228467179,-0.0018517322731472666
-0.001699732538603369,-0.0017633562838531183
-0.002057154650153591,-0.0020188421252502558
-0.001847798051508715,-0.0018395297772245025
-0.002031579330608217,-0.0020255987578966317
-0.001822705756303497,-0.0018177297333426378
-0.001976688743660277,-0.001992613566867613
-0.001949546143785892,-0.0019476069882865175
-0.001810850457668152,-0.0018029084213984099
