true I(450),predicted I(450)
0.08177169411044106,0.09177877965202035
0.07319858227112065,0.0779408124820309
0.07007772989707135,0.07141463983203684
0.0672384626897666,0.07749116266439712
0.08133348021783687,0.08199358605239607
0.06875179039041694,0.07053095751700371
0.07074917822289715,0.06721106589579227
0.08297065644894232,0.0764678024309195
0.09925792756188925,0.09155553666274863
0.08426101765796658,0.08134802708317335
0.08846140096177064,0.0825191191737926
0.07855878195445862,0.08523320320759868
0.06214421322384804,0.0707491782228971
0.098144179367091,0.09743748165716504
