true ang,predicted ang
-0.001627058982950681,-0.0016848065842892518
-0.001433921627579272,-0.001661610909663796
-0.001471983720494929,-0.0014496396861013326
-0.00139276153514455,-0.0015268368843438154
-0.00160550062536053,-0.0015449723459612234
-0.001396759605023503,-0.001408947792137905
-0.00139530564642715,-0.0013925194185041728
-0.001593879640159119,-0.001491301049941446
-0.001665561964844461,-0.0017231842079629064
-0.001557641460667067,-0.0015731569100117982
-0.00166227230684132,-0.001629270754143116
-0.001480923030450698,-0.0016540307104804647
-0.001364934049923877,-0.0013953056464271491
-0.001755230401391125,-0.0019724137250724696
-0.001695325750594125,-0.0014710974433978633
-0.001855098113510299,-0.0017217445639456496
-0.002037503492393562,-0.0018082404997718932
-0.001804490194013359,-0.0019154697319361514
-0.001784630195491037,-0.0018044886028727122
-0.001888324662139298,-0.0018463681253984804
-0.001681760399703216,-0.0017538056620496096
-0.002051171296626853,-0.0020172862563732985
-0.001833245024611405,-0.0018244241750427763
-0.002028796589913409,-0.0020182745857190475
-0.001804798621095075,-0.001810666375113843
-0.001971283955204511,-0.001977955934490446
-0.00191581735564016,-0.0019452299154156653
-0.001804063825663211,-0.0017823702075091138
