true I(max) d I(450),predicted I(max) d I(450)
1.793480249711967,1.7117316772787965
1.705571210318338,1.5397955039457785
1.816171871078426,1.7755859369840539
1.829142556516833,1.770719654458457
1.779916710914122,1.7432883589048593
1.809853888235752,1.734876491803739
1.694440349572038,1.7669479510400543
1.729596220373725,1.769029478017071
1.644004140065596,1.7024870805699401
1.709385874456737,1.761886703358065
1.712122287521299,1.7336930857401949
1.754082867420414,1.7008461741426946
1.864041370926444,1.6944403495720386
1.674626713027913,1.5044367704250692
1.381805998316142,1.5653515023167528
1.406834611719482,1.5709735447716562
1.407486901358173,1.456532858900464
1.341182071943871,1.3628010068673828
1.339284420778043,1.3486085737581521
1.403133436583384,1.3871260647545443
1.384848548123678,1.3562807608472018
1.421095799799603,1.4233489373554635
1.371806626227493,1.4011179116813766
1.454076924929557,1.4079519339254185
1.430750339033259,1.349533867671871
1.388189400857209,1.368083748560372
1.343117987678996,1.4007074649011637
1.319641891533063,1.3924911723524234
