true ang,predicted ang
-0.00198049811206356,-0.0019162065097505427
-0.002069267022618838,-0.0020089732945085953
-0.00150623735961189,-0.0015193093374064348
-0.001656359312261072,-0.001626058721731925
-0.001469284953063149,-0.0015236245396888883
-0.001565127672317758,-0.0015594533132430564
-0.001518206052446439,-0.0015306476218155552
-0.001419899787262196,-0.0014933204249651312
-0.001556944692345301,-0.001573735880255851
-0.001499708531961087,-0.001551928529522547
-0.001496069255815012,-0.0015884237710008444
-0.002010580926296246,-0.0019920279211085336
-0.001679743306214356,-0.0016784152495023623
-0.001947870869660309,-0.00196546007594904
-0.001622308571572344,-0.0015927250544348378
-0.001691361053077317,-0.0016926179826581313
-0.001695298641956295,-0.0016747397000354235
-0.001873029743281935,-0.0019102640320139102
-0.002047887917303793,-0.00202360313322191
-0.001810407820870991,-0.0018137634526409075
-0.001786214613525904,-0.0017620567224061652
-0.001911097228467179,-0.0018703319326255938
-0.001699732538603369,-0.0016869635392821405
-0.002057154650153591,-0.0020454416292994557
-0.001847798051508715,-0.0017897470646514844
-0.002031579330608217,-0.0019907779287580687
-0.001822705756303497,-0.0018636735974339705
-0.001976688743660277,-0.001972105270162032
-0.001949546143785892,-0.001939456403419844
-0.001810850457668152,-0.001797675654599433
