v AA,v TC,coef A
1.36,1.58,-7.055943584217168e-05
1.3684422110552765,1.58,-7.055943584217168e-05
1.376884422110553,1.58,-7.055943584217168e-05
1.3853266331658292,1.58,-7.055943584217168e-05
1.3937688442211056,1.58,-7.055943584217168e-05
1.402211055276382,1.58,-7.055943584217168e-05
1.4106532663316584,1.58,-7.055943584217168e-05
1.4190954773869346,1.58,-7.055943584217168e-05
1.427537688442211,1.58,-7.055943584217168e-05
1.4359798994974875,1.58,-7.055943584217168e-05
1.444422110552764,1.58,-7.055943584217168e-05
1.4528643216080404,1.58,-7.055943584217168e-05
1.4613065326633166,1.58,-7.055943584217168e-05
1.469748743718593,1.58,-7.055943584217168e-05
1.4781909547738694,1.58,-7.055943584217168e-05
1.4866331658291458,1.58,-7.055943584217168e-05
1.4950753768844223,1.58,-7.055943584217168e-05
1.5035175879396985,1.58,-7.055943584217168e-05
1.511959798994975,1.58,-7.055943584217168e-05
1.5204020100502513,1.58,-7.055943584217168e-05
1.5288442211055278,1.58,-7.055943584217168e-05
1.537286432160804,1.58,-7.055943584217168e-05
1.5457286432160804,1.58,-7.055943584217168e-05
1.5541708542713568,1.58,-7.055943584217168e-05
1.5626130653266332,1.58,-7.055943584217168e-05
1.5710552763819097,1.58,-7.055943584217168e-05
1.5794974874371859,1.58,-7.055943584217168e-05
1.5879396984924623,1.58,-7.055943584217168e-05
1.5963819095477387,1.58,-7.055943584217168e-05
1.6048241206030152,1.58,-7.055943584217168e-05
1.6132663316582914,1.58,-7.055943584217168e-05
1.6217085427135678,1.58,-7.055943584217168e-05
1.6301507537688442,1.58,-7.055943584217168e-05
1.6385929648241206,1.58,-7.055943584217168e-05
1.647035175879397,1.58,-7.055943584217168e-05
1.6554773869346733,1.58,-7.055943584217168e-05
1.6639195979899497,1.58,-7.055943584217168e-05
1.6723618090452261,1.58,-7.055943584217168e-05
1.6808040201005026,1.58,-7.055943584217168e-05
1.6892462311557788,1.58,-7.055943584217168e-05
1.6976884422110552,1.58,-7.055943584217168e-05
1.7061306532663316,1.58,-7.027668434341977e-05
1.714572864321608,1.58,-7.027668434341977e-05
1.7230150753768845,1.58,-6.999393284466786e-05
1.731457286432161,1.58,-6.942842984716403e-05
1.739899497487437,1.58,-6.942842984716403e-05
1.7483417085427135,1.58,-6.942842984716403e-05
1.75678391959799,1.58,-6.914567834841214e-05
1.7652261306532662,1.58,-6.914567834841214e-05
1.7736683417085426,1.58,-6.914567834841214e-05
1.782110552763819,1.58,-6.914567834841214e-05
1.7905527638190954,1.58,-6.886292684966022e-05
1.7989949748743719,1.58,-6.886292684966022e-05
1.8074371859296483,1.58,-6.886292684966022e-05
1.8158793969849245,1.58,-6.886292684966022e-05
1.824321608040201,1.58,-6.877758559370273e-05
1.8327638190954774,1.58,-6.877758559370273e-05
1.8412060301507536,1.58,-6.877758559370273e-05
1.84964824120603,1.58,-6.877758559370273e-05
1.8580904522613064,1.58,-6.877758559370273e-05
1.8665326633165829,1.58,-6.877758559370273e-05
1.8749748743718593,1.58,-6.869224433774523e-05
1.8834170854271357,1.58,-6.888965458053963e-05
1.891859296482412,1.58,-6.908706482333405e-05
1.9003015075376883,1.58,-6.928447506612847e-05
1.9087437185929648,1.58,-6.928447506612847e-05
1.917185929648241,1.58,-6.928447506612847e-05
1.9256281407035174,1.58,-6.948188530892287e-05
1.9340703517587938,1.58,-6.948188530892287e-05
