true I(max),predicted I(max)
0.1796725996400625,0.19216892284274661
0.1988295294943661,0.20233154938271017
0.22276546351961,0.21592768420755015
0.2014395483819878,0.20605596383351635
0.196495336085485,0.20207317571651423
0.2066458577673262,0.20428457020955001
0.1877148071822762,0.1934434664857936
0.2301794208632827,0.23088911957445474
0.2007368281172766,0.20159597880980645
0.2344890448928223,0.22647547820431932
0.2073782062838123,0.2047550697841174
0.2256180036108331,0.2252841785721728
0.2177529243098235,0.21852517547911163
0.2018371638254278,0.20070319547866594
