true ang,predicted ang
-0.001695298641956295,-0.0017602203283541666
-0.001873029743281935,-0.0019282545418207691
-0.002047887917303793,-0.0019835876220609017
-0.001810407820870991,-0.0018408141191671005
-0.001786214613525904,-0.0018123189067054408
-0.001911097228467179,-0.0018820983952580056
-0.001699732538603369,-0.0017783099073766895
-0.002057154650153591,-0.00204258762662773
-0.001847798051508715,-0.0018082836054896037
-0.002031579330608217,-0.0019878777082074843
-0.001822705756303497,-0.0018556071974455974
-0.001976688743660277,-0.001961851121809241
-0.001949546143785892,-0.0019493360957578928
-0.001810850457668152,-0.0017977605638029009
