true weight50,predicted weight50
55.57100000000003,54.878324999999926
58.34800000000007,55.356049999999996
55.26000000000005,54.215824999999995
53.87099999999992,58.39812500000003
59.37199999999996,53.20412499999996
62.12400000000002,54.978999999999985
52.16299999999995,57.453999999999986
52.48999999999995,52.25709999999998
54.91100000000006,54.91334999999998
50.774,51.70180000000001
56.63300000000004,53.358749999999986
61.10199999999998,54.40777499999997
61.43399999999997,58.53377499999999
54.59899999999999,56.120425
54.94099999999997,64.08835000000006
53.53699999999998,59.346000000000004
49.05000000000007,53.13242500000001
64.822,56.364099999999986
51.85699999999997,53.373225000000005
52.17000000000002,55.01627499999997
51.82800000000003,53.29405000000005
53.202,60.544800000000066
60.37700000000001,56.26092500000002
50.45999999999998,51.58500000000005
50.80899999999997,56.52542499999996
54.94799999999998,55.13370000000002
61.39099999999996,59.394475
52.15499999999997,55.818475
52.88300000000004,50.943150000000024
51.84900000000005,60.734075000000004
54.59899999999999,51.063900000000004
58.69700000000006,57.64135000000001
62.06400000000002,59.49132500000006
50.44600000000003,57.189525
62.46500000000003,56.472149999999985
61.39099999999996,54.75630000000003
59.29699999999997,60.84962500000002
51.82099999999997,53.15419999999998
49.44000000000005,50.86092500000002
54.24199999999996,53.08670000000001
61.70600000000002,55.63875000000006
61.35700000000003,58.217950000000066
57.66600000000005,54.96172500000002
49.11800000000005,56.39629999999998
54.61500000000001,60.01370000000003
66.86300000000006,55.81572500000003
64.83099999999996,64.556475
58.35600000000005,54.97092499999998
62.70099999999996,55.201350000000026
53.23900000000003,57.837750000000014
56.26900000000006,53.70294999999997
49.44000000000005,53.22430000000003
50.82299999999998,55.85120000000004
56.64900000000006,53.72359999999999
67.57100000000003,57.387675
53.52199999999993,55.05347499999999
53.58100000000002,53.32375000000002
53.25399999999996,53.728700000000025
55.98199999999997,57.23962499999999
51.17900000000003,57.368549999999985
52.51900000000001,50.742300000000036
51.173,57.92967500000002
53.23200000000003,59.9496
53.53699999999998,53.59532499999998
52.56299999999999,53.70650000000003
59.46199999999993,57.58742499999998
52.88300000000004,56.818374999999925
57.37200000000007,56.683325
51.15799999999996,52.18460000000001
71.89699999999993,54.54240000000001
53.26900000000001,56.908250000000024
