true height75,predicted height75
0.167118329923635,0.17966897426071224
0.1799302444556446,0.18926299505352023
0.1353897552456584,0.14159018917241656
0.1394754056058787,0.15462291172812542
0.1338820125377533,0.14298092314371197
0.1440577371841449,0.1568360544163458
0.141411604381341,0.142263940716485
0.1428328203612401,0.14151310407252987
0.1463243005881733,0.142110642321925
0.1472616116415988,0.15439326109870471
0.1464846791151926,0.1456752138607012
0.184395636513514,0.1847322837322733
0.166810931605026,0.17366249346061796
0.1928211081985793,0.19287219488261978
0.1582172595457514,0.14911607150014602
0.1672878784803761,0.15522461127788031
0.1672602091857497,0.16107897651325112
0.1845320489031904,0.17532082636312132
0.2065938631636659,0.20071664538787948
0.188142414070973,0.19514972670848124
0.1841278485004253,0.18530650218453512
0.1916418652184766,0.18549005080849093
0.1747881247965524,0.16296222174995872
0.2131592621903287,0.21127972770400677
0.1869296659096521,0.18772866777072159
0.21632651179319,0.21132889517102865
0.191800566695661,0.1908675071986089
0.2098805139531951,0.2105700550541773
0.2027819077013956,0.20535354982786086
0.1896226781619343,0.18288594632080918
