true height50,predicted height50
0.119535358544728,0.1268473643238597
0.100541567874773,0.13556991686204858
0.101546720501216,0.10485689176254438
0.1004370344420502,0.10887774807133888
0.1149978209138082,0.11717653426625721
0.09956558356315068,0.09986303950717705
0.09879484825465393,0.09758904114029285
0.1169804627541063,0.1073023780683798
0.1347347967795394,0.13265033255174538
0.1185972036587095,0.11415995251044778
0.1228963963713814,0.13112524020573882
0.1112519036433973,0.1262717811514072
0.09184580149187366,0.09879484825465391
0.1353459791004868,0.17114969169175553
0.154847818731437,0.12409957389035382
0.1702345683120146,0.14153633509767383
0.1904222628077219,0.1639254084651109
0.1748452797599583,0.18259510491076308
0.1717603609153656,0.17569188070543149
0.176637872669627,0.1714546907049835
0.1618614424108286,0.15719047979681366
0.1961391035173746,0.19344904490626608
0.1731225037020276,0.17297771633704093
0.1981639786935578,0.19431973169828592
0.1762229271075096,0.17656378310943024
0.194143024295557,0.1940227436533217
0.1878108910929677,0.18921299705343936
0.1774081924984409,0.17097516628725704
