true height50,predicted height50
0.1142138062415027,0.12392747880766612
0.09902198841443116,0.1397622447823495
0.09867546586258197,0.10210370063951693
0.095113598115194,0.10486462579803857
0.113050150407184,0.11354224624537704
0.09659124277584122,0.09649098121532582
0.09531472025141871,0.09403761432057775
0.1132381951224799,0.10573912194911994
0.1312191857039831,0.12907260348579883
0.1141478055049222,0.11090852457651748
0.1199590685668881,0.12664334609313072
0.1081786977330952,0.12113661860036158
0.08899179881838751,0.09531472025141866
0.1312495219317122,0.16640265166643137
0.1544877928461781,0.12282685620389819
0.1664728495147064,0.13525981659728603
0.188006112719775,0.1589358406621412
0.1705383653011492,0.17780216257010326
0.1677377864134561,0.17169804125874966
0.172450626062254,0.16825086802703654
0.1589360376786977,0.15991899405557783
0.1945941160293504,0.18999185678214361
0.1696328322016343,0.16996332079345644
0.1944008736718403,0.19159608026793062
0.1727493989406691,0.1737311923223621
0.1914821502287177,0.18937642543347707
0.1838230879068649,0.18618805395523846
0.1742085319917164,0.16761127266613474
