true I(650),predicted I(650)
0.0265066868913133,0.020294926315517485
0.02275609717978484,0.023023580508397083
0.02526449178533058,0.017708196621365427
0.01709984755851127,0.0185799256127514
0.03199892184213173,0.02259693231250396
0.01763625356756929,0.026897499620094745
0.01859408356611706,0.013588080876647946
0.009512518734090572,0.013944819013502387
0.02323831341970385,0.03985507582386314
0.007996810984206308,0.029852235500573858
0.007662528996558058,0.019377658131205726
0.01166641157831683,0.018956923515175455
0.01306474260417597,0.023020806207189833
0.01361457305143647,0.012991680864233506
0.01137161412869232,0.014373564245116249
0.01291472424996089,0.013069546619056484
0.02759678085106057,0.023163321139068955
0.0305039920806844,0.0338666672136784
0.03300221801784745,0.034982017588332415
0.03660186437553816,0.04219845395334446
0.04432249353049215,0.04754282969307832
0.03076782451887966,0.02240705886288474
0.03488624842609974,0.019375650909352365
0.0250237528926294,0.028553016973356125
0.02113721087331872,0.02508348989119691
0.01582359096626465,0.025086773662505273
0.02478694385801197,0.029140603292065893
0.02353289648652364,0.03280415039274155
0.02670210220513871,0.026657342332854488
0.03615486046389067,0.027777955638954206
0.02777597892561503,0.02226708047705376
0.03403453283316282,0.024670319771437542
0.0655630011072468,0.05822969433428789
0.05559525146878787,0.047600596501423044
0.06159834791435976,0.06445101160149505
0.05666708506123296,0.05355254742456461
0.04822998819652646,0.044519886341660334
0.03999137706099105,0.035985630370901314
0.05003426252481769,0.04313718425680314
0.05022531338555569,0.0503542322682166
0.04632519236184268,0.051878593561323606
0.04576386632574972,0.042219526605073096
0.04408958141739411,0.034061544405534494
0.05842199772544589,0.0594041715622056
0.04586011555310957,0.045542584225012846
