true I(max) d I(450),predicted I(max) d I(450)
1.789008029328602,1.6949775687431399
1.686295402001202,1.726541931467135
1.79948696812979,1.7487945353406584
1.762233095722662,1.763805167177793
1.763650906873567,1.71951856592604
1.794346745694162,1.7249314911140332
1.713686212244009,1.7995253087837348
1.710282465749797,1.7193457491239106
1.638892646281142,1.710215232624303
1.700714052087046,1.7521168599892807
1.710339445870833,1.7316230062364866
1.724089899930049,1.7241410087570586
1.820612901300486,1.7136862122440086
1.686909360744361,1.6400777151741437
