true ang,predicted ang
-0.0009195541078143568,-0.0010386039338917802
-0.0004496070631147463,-0.0006632930111933821
-0.0005874985334508266,-0.000792105503984387
-0.000724137832229094,-0.00041866874661024305
-0.0007673402259012761,-0.0005390104691072293
-0.0007068161120460174,-0.0006950723857064537
-0.0006889944425105024,-0.0007071507907577465
-0.0007921055039843872,-0.0005874985334508271
-0.0007556853337725223,-0.0008633897328497837
-0.000635557987519726,-0.00045932588167916486
-0.0007487998550638401,-0.0009705640863671863
-0.0007705806426628971,-0.0008661597138560813
-0.0006112820833963752,-0.0007076604346814726
-0.0004928018122899407,-0.0005652387019447175
-0.0004386197641139221,-0.0004689394798005222
-0.001550028012676758,-0.0009558174662440162
-0.001279783691997114,-0.0009862291742595906
-0.0003787658703998246,-0.0005885167498743876
-0.0007081740100730587,-0.0006685835017409632
