true weight,predicted weight
0.1812560196902657,0.18762751719819143
0.1614130822452697,0.17351789726904027
0.1540645804571465,0.16191097876692973
0.1780841369031461,0.18524660267313048
0.1489157988824208,0.14683234555115193
0.1743410960320039,0.17178561514259277
0.1707608099260265,0.17241520993491105
0.1619109787669298,0.15406458045714638
0.1778220626434587,0.18611718372830727
0.1703023740453806,0.16203165639097444
0.1890231433374868,0.18975384787014998
0.1970399379275538,0.18346275719637925
0.1495063729416944,0.153376316527021
0.1546708099155831,0.15942292369141128
0.1396920542291087,0.13967629529745612
0.2298053648407587,0.1939850236732156
0.1978518220659541,0.19530895204685514
0.1331395822953075,0.13969205422910855
0.1564760370621788,0.15104009373161226
