true I(max)-I(650),predicted I(max)-I(650)
0.1508337037123725,0.13425989500544927
0.1085635938252574,0.08953315556021155
0.0360477051343428,0.06635323908030975
0.07061241855908182,0.06993172092274112
0.05750216694563273,0.06655125958516753
0.1091430006523204,0.07602012142438502
0.1372791760959043,0.1418044167641732
0.1146253573384881,0.0617930156750523
0.04644872382037477,0.05301767630338774
0.07121269755744081,0.10842978557893095
0.1315072656192739,0.13941034037313169
0.08090584369160758,0.07372598721525117
0.1282604863418743,0.13562751413244278
0.08645174875452469,0.07828686324084061
0.07467794811743408,0.11913836279360798
0.05808127933625895,0.07371260889126391
0.07979351161442766,0.055899844894026496
0.07057896133119805,0.062172389963542116
0.06421918964039032,0.06436369969801728
0.06443361418936332,0.0658174968700632
0.0704096444807015,0.07759957299683941
0.06575362446340793,0.062182902294827744
0.07170280957234539,0.05967201047978675
0.05671311815178567,0.11161006116109581
0.07118776190826448,0.04316844900949716
0.0662894636280096,0.07181049387667374
0.06321662184954382,0.06518561858373388
0.05378322954198206,0.060620522249022354
0.1220695466122835,0.07609637462136187
0.1030865896271566,0.13031540720823595
0.04869056126769518,0.06613811352639372
0.07430322477958869,0.06911129493631638
