true weight50,predicted weight50
64.822,61.40354999999998
61.39099999999996,64.1317
61.70600000000002,62.02705000000001
61.35700000000003,59.839025000000014
61.39099999999996,61.19127500000002
66.86300000000006,63.80062499999999
64.83099999999996,66.84200000000001
59.29699999999997,61.49087500000002
61.43399999999997,61.84152499999999
62.06400000000002,62.84077500000004
60.37700000000001,62.97960000000005
64.84000000000003,61.75055
67.57100000000003,64.83099999999996
62.12400000000002,63.772025000000056
