true I(max) - I(450),predicted I(max) - I(450)
0.06992201475484654,0.06414413048629423
0.07685516974641839,0.06655662000768144
0.05056898938998616,0.052172587822947446
0.05882806951440611,0.0491840262812914
0.05495633770638896,0.04822389536841374
0.04863061763783147,0.04849985814299425
0.05110436932670505,0.04978524347409855
0.04966784367274621,0.04733720146333439
0.05406687780117311,0.05323940150838972
0.04195346580524624,0.0487097811515809
0.047696090643431,0.049439594398599844
0.06636690713225168,0.07129611839451946
0.04690138693379287,0.04755884023842756
0.06731547150940051,0.06026712956605211
0.04758211013427258,0.04923355993815575
0.04855407818243287,0.05771304037926976
