true weight50,predicted weight50
52.15499999999997,51.204074999999975
53.53699999999998,52.54249999999996
53.52199999999993,54.953350000000015
53.58100000000002,50.40865000000001
58.35600000000005,53.07379999999999
51.82099999999997,52.26915000000001
53.53699999999998,52.87444999999999
57.66600000000005,53.02877500000002
52.56299999999999,53.012450000000015
50.44600000000003,53.78680000000001
52.51900000000001,51.50367500000003
51.85699999999997,52.798349999999985
50.45999999999998,52.89700000000005
54.59899999999999,51.988974999999996
49.44000000000005,53.06842500000003
49.11800000000005,52.439725000000024
