true I(max) - I(650),predicted I(max) - I(650)
0.1640196556964734,0.16539795174393218
0.1689260437855755,0.16697088958383466
0.1717574231378368,0.17081712788425624
0.1610858392485905,0.1539504118192861
0.1532423938307891,0.16157924745826374
0.1467089147372376,0.1669494209109661
0.1727312009947923,0.16131900567551608
0.1512142349964321,0.15216212370464044
0.168276635999108,0.1619493505738063
0.1501701437236423,0.14979956832343969
0.1517829548150245,0.15204082739902056
0.1393459769214581,0.15873226015713143
0.139758164755655,0.16295685932809326
0.1653274825454373,0.15483000197799984
0.1717276654857344,0.1377540612856179
0.1741202839996198,0.16020464474411383
0.1536071756289013,0.15173985238618634
0.1313590069216113,0.16206907501186732
0.1679851452787295,0.15921538361668958
0.1608819914415765,0.15597698522769404
0.154876712564167,0.1543421519574065
0.137018272681548,0.14554255743106842
0.1399391099131319,0.15519807669910074
0.141934413962936,0.1439040799026561
0.158838152433375,0.15267301436455438
0.1615804751919804,0.15134199413694002
0.1337092299251992,0.14735631294869492
0.1650316056743476,0.15868028370018875
0.1436252257648821,0.15150745494969073
0.1678620760532851,0.13523832808777528
0.1459578145683544,0.1528567891213154
0.1593195346098552,0.13006706875693433
0.1307737702018357,0.1562337225958203
0.1272459860122259,0.13591249354606874
0.1329245243532975,0.12539361656351525
0.1182311410801256,0.13699926635078583
0.1347227539922165,0.12848874899478585
0.1326824951070791,0.13663354490925655
0.1456380668068996,0.13436114914649733
0.1336591427150925,0.13552061463141146
0.1228842478082872,0.13853749205701188
0.1164860360946137,0.13910489454359481
0.119094920815536,0.12370469288234906
0.1445401495998845,0.13012295063573104
0.1484844983090325,0.12699494683117066
0.1142544404308532,0.12915048021193026
0.1134057964140975,0.11470674099656561
0.1228341531063386,0.12033659646198036
0.1062348232044823,0.12652552205387899
0.1606392861865484,0.1259509997670805
0.1205174217958951,0.15083092287749086
0.1393449625604399,0.12430864446576681
0.1585310849806992,0.12531300458699696
0.1245400557470558,0.15544229983514385
0.1090543722060248,0.1369260209312927
0.1268947917198363,0.12389701670504938
0.1383588320182156,0.12057506772171107
0.1479921191875015,0.15007137396747458
0.1455988501657005,0.1409563486958596
0.1449439171969919,0.14670243012051387
0.1268268777667735,0.13383960147612828
0.1428902181208256,0.13706639334184173
0.1514208535751381,0.13006542021611986
0.1274855945078786,0.1307559887546342
0.1320650411128516,0.1353806785872202
0.1343106427040875,0.14881807100500194
0.1542362179023851,0.1519985895556864
0.1414234616558062,0.13902457603781945
0.1641152364534052,0.15057413003176373
0.1159981311755051,0.14543564913103507
0.1420812306278442,0.1309883363488295
