true I nm,predicted I nm
534.217,534.01735
537.668,540.6574750000003
531.799,538.0130000000001
538.013,539.8040750000002
541.114,530.7609999999999
536.633,536.3564750000003
536.633,535.9415000000001
538.013,531.7989999999994
534.562,534.9667000000002
540.77,539.838875
533.526,534.3378000000004
534.562,530.7609999999999
538.013,537.175475
543.18,536.685075
543.524,539.9173750000001
533.872,534.7258000000002
535.253,534.2170000000003
546.618,537.8604999999999
538.013,535.0091749999998
530.761,535.9413500000003
530.761,534.5726999999998
530.761,538.63075
530.761,533.3039249999998
530.761,538.53285
530.761,535.676325
532.49,534.3808750000003
534.217,534.8040750000002
534.217,533.7850250000004
538.013,541.3865750000001
541.803,541.2520000000003
527.993,533.6592999999999
538.358,533.7231000000002
543.524,532.0214749999999
538.358,535.881875
