true weight75,predicted weight75
35.58600000000001,43.11599999999999
33.86599999999999,43.44499999999994
34.20999999999992,36.124725000000026
36.59000000000003,35.95469999999991
35.92499999999995,41.99102500000005
34.21299999999997,37.72644999999998
34.89599999999996,40.11140000000002
35.5569999999999,34.86245000000001
39.63300000000004,36.671924999999995
36.61099999999999,34.65829999999997
38.64999999999998,35.54857500000003
39.69399999999996,35.86934999999999
34.90499999999997,38.490750000000006
34.91500000000008,36.219599999999964
36.27199999999993,34.14322500000001
35.53200000000004,35.755749999999956
40.36799999999994,37.772612499999944
36.95799999999997,38.087125
37.62300000000005,37.86702500000004
46.78300000000002,36.91779999999998
39.04700000000003,37.88654999999998
35.58199999999999,39.44455000000001
35.92499999999995,37.51857500000002
36.298,37.532125000000065
38.32399999999996,35.54192499999998
36.62,38.48557500000002
39.03100000000006,38.233875000000005
35.58199999999999,35.412824999999955
36.24700000000007,39.02217500000005
35.596,38.92712499999997
42.40800000000002,36.80024999999996
39.99700000000007,35.98323749999998
39.64400000000001,36.35197499999998
39.98099999999999,37.24000000000002
40.00300000000004,38.50390000000006
44.11099999999999,37.3600375
43.44499999999994,33.86599999999999
37.91800000000001,39.63997500000005
40.37300000000005,38.43232499999998
40.68100000000004,37.988225
40.36199999999997,37.40075
43.11599999999999,35.58600000000001
45.15999999999997,36.72674999999998
41.41099999999994,36.006674999999994
35.5569999999999,37.24787499999993
35.904,39.86432499999994
35.89499999999998,37.373475000000006
35.59100000000001,35.904024999999976
38.66100000000006,36.941237500000014
35.56200000000001,35.79897499999995
35.904,35.349324999999986
37.62799999999993,37.68297500000001
33.53200000000004,35.904824999999974
34.18599999999992,37.40272500000001
35.22899999999993,33.95050000000002
34.5569999999999,35.99707499999996
34.54300000000001,35.385099999999966
35.58199999999999,35.724424999999975
33.51800000000003,35.23288749999996
32.50099999999998,36.93833749999999
32.83199999999999,35.219775000000034
33.85699999999997,36.89244999999998
34.87199999999996,37.39034999999997
35.20400000000006,35.51257499999995
34.51900000000001,34.96337500000003
35.22400000000005,36.70009999999998
34.89599999999996,35.507874999999984
36.94299999999998,35.90609999999996
35.22400000000005,34.80727499999997
38.31900000000007,36.69472499999998
37.28599999999994,35.87067500000002
37.26499999999999,36.91769999999997
36.24299999999994,38.39554999999997
33.82900000000006,36.137349999999984
