true I(max) d I(450),predicted I(max) d I(450)
1.789008029328602,1.6771457043506974
1.686295402001202,1.4260244143779508
1.79948696812979,1.725292255175352
1.762233095722662,1.7437341541422953
1.763650906873567,1.7225739322043652
1.794346745694162,1.717988488634959
1.713686212244009,1.7514340643443784
1.710282465749797,1.7426363616631246
1.638892646281142,1.705519512060636
1.700714052087046,1.7489541659038295
1.710339445870833,1.7088834093029903
1.724089899930049,1.6947275235094235
1.820612901300486,1.6967559089876765
1.686909360744361,1.5360643231512583
1.60973102891643,1.59284801453169
1.628472333910558,1.63265621971358
1.518853129284761,1.5032158271000027
1.616941622207827,1.4664298033833996
1.593066211432122,1.4479023582100725
1.452021376722172,1.4297501812643507
1.495757855537469,1.462725315397134
1.470419891873661,1.4948861114983072
1.511154017962912,1.516113692376782
1.362303362825165,1.4251926067095855
1.430809915469316,1.4640825963316992
1.492992736937695,1.6021926347665498
1.356299051363254,1.3796896761343063
1.472938531063888,1.441891850742308
1.388328142148536,1.499284397868734
1.371003419519695,1.6063610287726386
1.381852036751447,1.4067572133546584
1.403770693266247,1.5736772626194184
1.409202841705632,1.5083319831087674
1.35877352090755,1.3612985647178295
1.336472168323071,1.3563967884286243
1.409302436148689,1.397732437937904
1.380173960549558,1.3701264446638075
1.419994722352833,1.4161505414056035
1.379557005669413,1.3946724606560224
1.448903982848319,1.4459482882474979
1.429527597925582,1.3644998820158813
1.386984171588115,1.3828067288158015
1.379327925971984,1.3982959606761916
1.319376332810685,1.385988865339177
