v AA,v TC,coef A
0.6,0.62,-5.4865452823457954e-05
0.614070351758794,0.62,-5.4865452823457954e-05
0.6281407035175879,0.62,-5.4865452823457954e-05
0.6422110552763819,0.62,-5.4865452823457954e-05
0.6562814070351759,0.62,-5.4865452823457954e-05
0.6703517587939698,0.62,-5.4865452823457954e-05
0.6844221105527638,0.62,-5.4865452823457954e-05
0.6984924623115578,0.62,-5.4865452823457954e-05
0.7125628140703517,0.62,-5.4865452823457954e-05
0.7266331658291457,0.62,-5.4865452823457954e-05
0.7407035175879397,0.62,-5.4865452823457954e-05
0.7547738693467336,0.62,-5.4865452823457954e-05
0.7688442211055276,0.62,-5.4865452823457954e-05
0.7829145728643215,0.62,-5.4865452823457954e-05
0.7969849246231155,0.62,-5.4865452823457954e-05
0.8110552763819094,0.62,-5.4865452823457954e-05
0.8251256281407034,0.62,-5.4865452823457954e-05
0.8391959798994975,0.62,-5.4865452823457954e-05
0.8532663316582914,0.62,-5.4865452823457954e-05
0.8673366834170854,0.62,-5.4865452823457954e-05
0.8814070351758794,0.62,-5.4865452823457954e-05
0.8954773869346733,0.62,-5.4865452823457954e-05
0.9095477386934673,0.62,-5.4865452823457954e-05
0.9236180904522613,0.62,-5.4865452823457954e-05
0.9376884422110552,0.62,-5.4865452823457954e-05
0.9517587939698492,0.62,-5.4865452823457954e-05
0.9658291457286432,0.62,-5.4865452823457954e-05
0.9798994974874371,0.62,-5.4865452823457954e-05
0.9939698492462311,0.62,-5.4865452823457954e-05
1.0080402010050251,0.62,-5.4865452823457954e-05
1.022110552763819,0.62,-5.4865452823457954e-05
1.0361809045226131,0.62,-5.4865452823457954e-05
1.050251256281407,0.62,-5.4865452823457954e-05
1.064321608040201,0.62,-5.5071127862046216e-05
1.0783919597989948,0.62,-5.5071127862046216e-05
1.092462311557789,0.62,-5.5071127862046216e-05
1.1065326633165828,0.62,-5.473562630405939e-05
1.120603015075377,0.62,-5.473562630405939e-05
1.1346733668341709,0.62,-5.473562630405939e-05
1.1487437185929648,0.62,-5.4693258102271895e-05
1.1628140703517587,0.62,-5.4693258102271895e-05
1.1768844221105526,0.62,-5.4693258102271895e-05
1.1909547738693467,0.62,-5.4693258102271895e-05
1.2050251256281408,0.62,-5.4693258102271895e-05
1.2190954773869347,0.62,-5.480086891545157e-05
1.2331658291457286,0.62,-5.480086891545157e-05
1.2472361809045225,0.62,-5.480086891545157e-05
1.2613065326633164,0.62,-5.480086891545157e-05
1.2753768844221105,0.62,-5.480086891545157e-05
1.2894472361809044,0.62,-5.480086891545157e-05
1.3035175879396985,0.62,-5.480086891545157e-05
1.3175879396984924,0.62,-5.480086891545157e-05
1.3316582914572863,0.62,-5.480086891545157e-05
1.3457286432160802,0.62,-5.480086891545157e-05
1.3597989949748743,0.62,-5.490847972863123e-05
1.3738693467336682,0.62,-5.490847972863123e-05
1.3879396984924623,0.62,-5.490847972863123e-05
1.4020100502512562,0.62,-5.488026187802674e-05
1.4160804020100501,0.62,-5.485204402742225e-05
1.430150753768844,0.62,-5.540368837824651e-05
1.444221105527638,0.62,-5.540368837824651e-05
1.458291457286432,0.62,-5.531903482643304e-05
1.4723618090452262,0.62,-5.529081697582855e-05
1.48643216080402,0.62,-5.584246132665282e-05
1.500502512562814,0.62,-5.6394105677477087e-05
1.5145728643216079,0.62,-5.5814243476048335e-05
1.5286432160804018,0.62,-5.462630122258633e-05
1.5427135678391959,0.62,-5.459808337198184e-05
1.55678391959799,0.62,-5.5228023378998546e-05
1.570854271356784,0.62,-5.5199805528394053e-05
1.5849246231155778,0.62,-5.5199805528394053e-05
1.5989949748743717,0.62,-5.5199805528394053e-05
1.6130653266331656,0.62,-5.6286925405998734e-05
1.6271356783919595,0.62,-5.6945083263619935e-05
1.6412060301507538,0.62,-5.737404528360343e-05
1.6552763819095477,0.62,-6.106436693640097e-05
1.6693467336683416,0.62,-6.172252479402217e-05
1.6834170854271355,0.62,-6.303884050926455e-05
1.6974874371859294,0.62,-6.412596038686923e-05
1.7115577889447233,0.62,-6.388608049392583e-05
1.7256281407035177,0.62,-6.254839666807206e-05
1.7396984924623116,0.62,-6.054187092929138e-05
1.7537688442211055,0.62,-5.9873029016364494e-05
1.7678391959798994,0.62,-5.808342936902562e-05
1.7819095477386933,0.62,-5.607690363024495e-05
1.7959798994974872,0.62,-5.538931611733182e-05
1.8100502512562815,0.62,-5.559976635498332e-05
1.8241206030150754,0.62,-5.603941243027251e-05
1.8381909547738693,0.62,-5.6479058505561695e-05
1.8522613065326632,0.62,-5.6479058505561695e-05
1.866331658291457,0.62,-5.735835065614007e-05
1.880402010050251,0.62,-5.91169349572968e-05
1.8944723618090449,0.62,-6.0435873183164364e-05
1.9085427135678392,0.62,-6.037409758048559e-05
1.9226130653266331,0.62,-6.104324085596425e-05
1.936683417085427,0.62,-6.043241039850178e-05
1.950753768844221,0.62,-6.134519330003288e-05
1.9648241206030148,0.62,-6.15270573234066e-05
1.9788944723618087,0.62,-6.201433657551154e-05
1.992964824120603,0.62,-6.243984022493771e-05
2.007035175879397,0.62,-6.292711947704266e-05
2.021105527638191,0.62,-6.371981395787882e-05
2.0351758793969847,0.62,-6.499978769081994e-05
2.0492462311557786,0.62,-6.7134231507276e-05
2.0633165829145725,0.62,-6.817056561416464e-05
2.077386934673367,0.62,-6.841420524021711e-05
2.091457286432161,0.62,-6.969417897315823e-05
2.1055276381909547,0.62,-6.927943653249247e-05
2.1195979899497486,0.62,-6.684213232071506e-05
2.1336683417085425,0.62,-6.534387728464998e-05
2.1477386934673364,0.62,-6.431198185848478e-05
2.1618090452261307,0.62,-6.328008643231957e-05
2.1758793969849246,0.62,-6.224819100615435e-05
2.1899497487437185,0.62,-6.187467764670737e-05
2.2040201005025124,0.62,-6.084278222054216e-05
2.2180904522613063,0.62,-5.886763602038748e-05
2.2321608040201,0.62,-5.594923904624333e-05
2.246231155778894,0.62,-5.3119486724274956e-05
2.2603015075376884,0.62,-5.020108975013083e-05
2.2743718592964823,0.62,-4.9257838976141374e-05
2.2884422110552762,0.62,-4.605457329472601e-05
2.30251256281407,0.62,-4.445294045401833e-05
2.316582914572864,0.62,-4.5341194129478035e-05
2.330653266331658,0.62,-4.6059213037326184e-05
2.3447236180904523,0.62,-4.730972393721582e-05
2.358793969849246,0.62,-4.804953053427076e-05
2.37286432160804,0.62,-4.804953053427076e-05
2.386934673366834,0.62,-4.8597314674507326e-05
2.401005025125628,0.62,-4.9485568349967036e-05
2.4150753768844218,0.62,-5.043268955203538e-05
2.429145728643216,0.62,-5.137981075410373e-05
2.44321608040201,0.62,-5.285292840720187e-05
2.457286432160804,0.62,-5.285292840720187e-05
2.471356783919598,0.62,-5.470359543292499e-05
2.4854271356783917,0.62,-5.489561788974336e-05
2.4994974874371856,0.62,-5.5273167262368355e-05
2.51356783919598,0.62,-5.480074972987073e-05
2.527638190954774,0.62,-5.347503077887764e-05
2.5417085427135677,0.62,-5.2621729360382165e-05
2.5557788944723616,0.62,-5.245799013378231e-05
2.5698492462311555,0.62,-5.110714898020957e-05
2.5839195979899494,0.62,-5.0776509499371014e-05
2.5979899497487433,0.62,-4.959256860003697e-05
2.6120603015075377,0.62,-5.004934701287151e-05
2.6261306532663315,0.62,-4.9696746357092164e-05
2.6402010050251254,0.62,-5.01974471198083e-05
2.6542713567839193,0.62,-5.055636983086536e-05
2.6683417085427137,0.62,-5.072327008510408e-05
2.6824120603015076,0.62,-5.105707059358149e-05
2.6964824120603015,0.62,-5.122397084782021e-05
2.7105527638190954,0.62,-5.2371356376701225e-05
2.7246231155778893,0.62,-5.299291894028645e-05
2.738693467336683,0.62,-5.270509914151538e-05
2.7527638190954775,0.62,-5.283165438513446e-05
2.7668341708542714,0.62,-5.3372584671143704e-05
2.7809045226130653,0.62,-5.3372584671143704e-05
2.794974874371859,0.62,-5.399414723472895e-05
2.809045226130653,0.62,-5.3211320115991714e-05
2.823115577889447,0.62,-5.123129083612711e-05
2.837185929648241,0.62,-4.9458449077457566e-05
2.8512562814070352,0.62,-4.818061463875419e-05
2.865326633165829,0.62,-4.661496040127974e-05
2.879396984924623,0.62,-4.5544313483771435e-05
2.893467336683417,0.62,-4.468085408745822e-05
2.907537688442211,0.62,-4.311519984998376e-05
2.9216080402010047,0.62,-4.225931184544417e-05
2.935678391959799,0.62,-4.0926247973543996e-05
2.949748743718593,0.62,-3.9881003900414896e-05
2.963819095477387,0.62,-3.864640375869629e-05
2.9778894472361808,0.62,-3.722244754838818e-05
2.9919597989949747,0.62,-3.703309147979867e-05
3.0060301507537686,0.62,-3.598784740666957e-05
3.020100502512563,0.62,-3.598784740666957e-05
3.034170854271357,0.62,-3.598784740666957e-05
3.0482412060301507,0.62,-3.598784740666957e-05
