true I(max) - I(650),predicted I(max) - I(650)
0.1604025181641602,0.14932800637636995
0.1544370960711982,0.11347255902595152
0.1569388755937516,0.12122834823487547
0.1669346490707778,0.156817003753206
0.1700303725191179,0.13268467615597873
0.1426084428443669,0.12422251210449797
0.1666148143464897,0.13441692426067
0.1271093439561886,0.14974929860319647
0.1055838109114308,0.13292990236777494
0.1336813543204622,0.1302201123194908
0.1520835794711833,0.16338948347292132
0.138301962184517,0.14916817658517362
0.158691757613446,0.12648008748253037
0.1459886164075344,0.14999557895740667
0.1449313683847768,0.15082312265027026
0.1309794302892781,0.15904472786979712
0.1179414016600144,0.14778951158005857
0.1219241907470837,0.14334569600207286
0.1156032316691054,0.14564064111506256
0.1334649687345855,0.1417128511866721
0.1132620293175442,0.14920564828542707
0.1335718193853491,0.12591659532555569
0.1386621779453973,0.15189257059629238
0.1303532764787694,0.15541415909349937
0.1383863118008054,0.15204024777747951
0.1083378189013356,0.15340887735692518
0.1451371860720926,0.163856705558908
0.1456426310175093,0.12964827439425863
0.1575949819428217,0.141474922777812
0.1717055874531933,0.15461066419813782
0.149374809484843,0.1507788276435887
0.1485632965550837,0.14589098400353204
0.1590391364632411,0.15098176302479288
0.1432652422781862,0.1411571105963493
0.1712449232712787,0.16894647897358178
0.1537141061668827,0.15171727505884453
0.1684646107445246,0.1668571912913169
0.1504027553888979,0.15090248268424372
0.1632964944996871,0.16488242325601676
0.1595091420232549,0.15506818271093453
0.1530927790205911,0.15017945066796776
