true weight,predicted weight
0.2726403104196091,0.2594071407811863
0.2629725537250219,0.25699434999865656
0.2123274362201383,0.2276089802337476
0.2057262830392859,0.22604979341460588
0.2409277060172083,0.22970531226581276
0.2504285915713274,0.258336803350356
0.2740616963193881,0.27774254764250567
0.241880527737626,0.24891910446823262
0.2260497934146058,0.20770662899354156
0.2308472913196574,0.2380676790375013
0.2650191658542811,0.2673337102208816
0.2468768572111044,0.2726403104196091
0.2279923436850461,0.23079153678046666
0.2847783362043197,0.2740616963193881
0.2155872829253541,0.22799234368504603
