true I(max),predicted I(max)
0.1868673206110447,0.17232292792226753
0.1524438253505655,0.16967953270172675
0.189156716790403,0.2156817816326842
0.1757424178789437,0.20827231685558342
0.1786298363971533,0.15234920332209106
0.1649997170835524,0.15999902276669328
0.1673876271473193,0.165521619413331
0.1742542616619473,0.14276336873418127
0.1991371932770883,0.1909029779135353
0.201545490020261,0.17281074087541942
0.1546583984408366,0.1648728582990575
0.1852697126993668,0.14914820163172304
0.1419322000395445,0.15913942668550912
0.1510467426383691,0.17269812836362067
0.18687133363319,0.16297484806858742
0.1622827644668785,0.16798892921729655
0.1620437647555032,0.15908905730518472
0.1663095645462192,0.16986704256015606
0.1597174841954135,0.17470769251556464
0.1493678537679528,0.18159458676744006
0.1185668909401154,0.1555123199521247
0.1699472281569415,0.2115218779649025
0.1262279520643319,0.16951144862732076
0.1305467768048452,0.15848423394868955
0.1281524476729305,0.15196910051349266
0.1467739725293752,0.17511773166191788
0.1278690134822897,0.1453020783074431
0.1247774105427899,0.13233079710075016
0.1476374782421774,0.13437114377289297
0.1673549456067156,0.19876807010621825
0.1577499780929103,0.1677014865704195
0.2009873632965769,0.20110717112529186
0.1785362783384742,0.19245095959554642
0.2096499760759295,0.17840856510122496
0.1701127870793195,0.15049323034842133
0.1794263980259843,0.1464862759122077
0.1991440368922492,0.19149997203174315
0.148032002593155,0.15377463399303484
0.1541824229844803,0.14384030992235178
0.1476210969643505,0.136565031542304
0.1562153915936028,0.16963313863047316
0.1541876967130173,0.15850862147545036
0.1552497812794266,0.15081493261532225
0.1598410200384666,0.15655850940292865
0.1796725996400625,0.15405036736400796
0.2344890448928223,0.22693512775788477
0.2073782062838123,0.1939663303452124
0.2256180036108331,0.23030501474707243
0.2177529243098235,0.21061665869136256
0.2018371638254278,0.19259871718232727
0.1988295294943661,0.18579095483143895
0.22276546351961,0.18730208388343295
0.2014395483819878,0.19688852316169464
0.196495336085485,0.19940270475373253
0.2066458577673262,0.19677390481122256
0.1877148071822762,0.17152070899361532
0.2301794208632827,0.22975922401097465
0.2007368281172766,0.20424541092184004
