true height,predicted height
37.93399999999997,37.27787500000003
34.53300000000002,35.74460000000003
46.75,32.32099999999991
38.95500000000004,39.378099999999975
37.58699999999999,35.007999999999946
34.19500000000005,37.33445
36.56399999999996,35.466875
36.928,37.80725000000005
38.61799999999994,41.46862500000001
32.32099999999991,39.12227499999999
36.22199999999998,33.8129
40.33400000000006,37.43099999999998
40.35599999999999,37.26375000000004
34.529,36.35879999999996
41.38200000000006,39.510925
