true height50,predicted height50
0.119535358544728,0.12504013262332728
0.100541567874773,0.11069129247503424
0.101546720501216,0.10619911203283898
0.1004370344420502,0.11003527874030568
0.1149978209138082,0.11704199085824651
0.09956558356315068,0.10027950185812207
0.09879484825465393,0.0985052146836214
0.1169804627541063,0.10558794434294108
0.1347347967795394,0.12834009001049945
0.1185972036587095,0.11477725334915953
0.1228963963713814,0.11732867579139492
0.1112519036433973,0.11540343643499411
0.09184580149187366,0.09879484825465391
0.1353459791004868,0.1306768460206869
