true weight50,predicted weight50
63.46899999999999,60.743699999999954
61.39099999999996,53.41875
61.70600000000002,63.47352500000005
62.40400000000005,60.32600000000006
61.05100000000004,61.260974999999995
66.52300000000002,62.496625000000016
62.42099999999999,66.66910000000006
59.30600000000004,61.215549999999986
60.75199999999995,61.25394999999999
60.68499999999995,61.17442500000001
60.37700000000001,61.03535000000003
64.84000000000003,60.921175000000005
67.91100000000006,62.42099999999999
61.10199999999998,57.57734999999999
49.09799999999996,54.558350000000004
50.125,58.50200000000001
52.16299999999995,56.17912500000002
51.46499999999997,51.225050000000024
50.43200000000002,53.08639999999999
51.48600000000005,51.16629999999997
52.19900000000007,48.95372499999998
55.26000000000005,53.606550000000006
51.137,51.65727500000001
58.00700000000006,53.94590000000001
56.98300000000006,50.693924999999965
55.23000000000002,52.77339999999997
51.46499999999997,55.40137500000003
48.36599999999999,53.16627500000004
